id,created_at,text
869964462916345856,2017-05-31 17:11:05,": Now on Collusion and Denial: Wash Post’s... from Bob Schieffer's ""About... https…"
867756831220871169,2017-05-25 14:58:45,: superstar podcast!
867756803060371456,2017-05-25 14:58:38,": Fun to appear on a podcast w the amazing , who I first met in NH when I was a research assistant... https:/…"
867756783871414272,2017-05-25 14:58:34,: Great podcast to listen to.
867756755119419392,2017-05-25 14:58:27,: Really loving and 's podcast. If you like news you'll love this.
867756694406922241,2017-05-25 14:58:12,: Terrific podcast discussion with two of the very best in the business -- and
867756535644123136,2017-05-25 14:57:34,: It was an honor to sit down with and to discuss the challenges of reporting on the Trump-Rus…
867756509865889792,2017-05-25 14:57:28,: Another great episode with . My respect for the profession grows w every episode!…
867470005415419904,2017-05-24 19:59:00,: WaPo's talks w/ on reporting Trump reach out to DNI/NSA on Russia ht…
865291890396200960,2017-05-18 19:43:57,": Talking ""Witch Hunt"" with &amp; on our latest podcast"
862751522546909185,2017-05-11 19:29:26,: Comey's firing discussed with and
862751464690765824,2017-05-11 19:29:12,: Discussing the Comey aftermath with &amp; our new podcast!
861666774198001664,2017-05-08 19:39:02,: Great recording our podcast with &amp; today!
859875595605430272,2017-05-03 21:01:32,: Talking breaking Trump news with &amp; out new podcast is posted! htt…
859873385643479040,2017-05-03 20:52:45,: Fantastic intv with and for our new podcast. Will be posted on soon! http…
856997995325394944,2017-04-25 22:26:58,": New podcast w/ ""Shattered"" authors &amp; is up"
856618680351956992,2017-04-24 21:19:43,": Just recorded podcast w/ ""Shattered"" authors &amp; . Will be posted soon!"
852904270978580480,2017-04-14 15:19:59,: Just recorded our podcast with &amp; will post on soon!
839573451618803712,2017-03-08 20:28:04,": Our intv w/ WSJ's on Donald Trump as ""agent of change"" plus WSJ's editorial wall"
838816031225364482,2017-03-06 18:18:20,: A great pleasure to interview of The Root:
834469174671970305,2017-02-22 18:25:29,: The ultimate Texas Talk w/ &amp; of
831947353284296704,2017-02-15 19:24:40,: We love this interview with on the About the News Podcast with &amp; . https:/…
831248671845076993,2017-02-13 21:08:21,": ""Trump Stole My Gig"" tells in a new interview about commedy &amp; the news"
824654077049106432,2017-01-26 16:23:47,: Alt-Facts &amp; journalism w/ 's &amp; :
824366773684371457,2017-01-25 21:22:09,: Our latest with Fox's Chris Wallace cc :
824366666461118464,2017-01-25 21:21:43,: New podcast with on covering the administration …
824366573695696897,2017-01-25 21:21:21,": “Tweets are the new press release,"" our latest Bob Schieffer podcast with"
824366448126685184,2017-01-25 21:20:51,This is a good one!
794230617449832448,2016-11-03 17:31:49,: Talking changing media in an era of outrageous politics with &amp; Full episode here:
794230578526699520,2016-11-03 17:31:40,: Fascinating conversation re digital media revolution w/ Vox CEO &amp; https…
794230559748882433,2016-11-03 17:31:36,": Hear , my boss, elain &amp; digital media to the great : https:/…"
794230347793858560,2016-11-03 17:30:45,: No matter what your politics are is a cool guy w/ thoughtful insight. Hear him on our latest podcast http…
794230190041866240,2016-11-03 17:30:08,: Our new podcast is with trailblazing cofounder
793925803025240064,2016-11-02 21:20:36,: Listen: Our latest podcast w/ top political reporter
