id,created_at,text
864941502602108928,2017-05-17 20:31:38,So many incredible stories coming in already – thanks to those who sent them. Keep them coming!
864940696611979264,2017-05-17 20:28:26,: TELL &amp; : What do you want people to know about your student loan eerience? Upload your video:
855547117347229696,2017-04-21 22:21:42,: We’re thrilled these guests will join us online during tonight’s . Our Q&amp;A starts at :30pm EST over on
855506853211643904,2017-04-21 19:41:43,"Hope you'll tune in tonight - , two years later."
850449963695910912,2017-04-07 20:47:26,": Don't miss a exclusive with . WATCH/DVR: Friday, April at /9c on"
820102815775395840,2017-01-14 02:58:42,We want to hear about your reality — join the conversation tonight
820078042110423041,2017-01-14 01:20:16,Grateful to all the Americans who let us share their lives and their story with all of you tonight. Tune in at pm…
819993887368507393,2017-01-13 19:45:52,. Biden talks about the struggle of the middle class in America — great to see him behind the scenes
816755232067698695,2017-01-04 21:16:36,: Chasing the American Dream - a special report on the state of America one week before Inauguration Day.
791776733460586496,2016-10-27 23:00:58,"Tonight on - for the first time, inside an Oklahoma prison a young man speaks about trying to join IS…"
774444689445490688,2016-09-10 03:09:37,"One day at a time, and today was a good one -- thank you for watching and thank you to for your strength"
774442739677204480,2016-09-10 03:01:52,: “He couldn’t save me. I could only save me.” Elizabeth describes her feelings after her husband says their marriage is over. …
774431156611719168,2016-09-10 02:15:50,: National surveys find that over % of women with alcohol dependence are also fighting anxiety.
774431136479059968,2016-09-10 02:15:45,": ""It doesn’t matter how much you have or how little you have."" - describes the cycle of disease"
774431122944102400,2016-09-10 02:15:42,: . says she remembers having anxiety &amp; panic attacks as early as age when her dad left for the Vietnam War. …
774401259252097025,2016-09-10 00:17:02,"It's almost pm - join + me on tonight for a story of anxiety, alcoholism, and especially hope"
774231171618136064,2016-09-09 13:01:10,: TONIGHT: Two stunning all-new hours of ! Hope you join us starting at |8c on ABC.
773959153924513792,2016-09-08 19:00:16,: Set your reminder: Two stunning all new hours of ! TOMORROW starting at |8c.
773895854092529666,2016-09-08 14:48:44,: VIDEO: ABC's talks about struggle with alcohol and anxiety with . airs /9 at p. https:…
773232812673503232,2016-09-06 18:54:03,A very happy birthday to a great friend and colleague -- eager to share her story with you Fri
768256026353295360,2016-08-24 01:18:04,: Hope you'll join me Sept. /9c for a very special with my friend ! https:/…
747565966687625216,2016-06-27 23:03:10,: sits down with Jaycee Dugard in an exclusive. Join us /8 at /9c.
733405856184705024,2016-05-19 21:15:56,": Tomorrow on , reports from behind the bars of ."
711009463147171841,2016-03-19 02:00:40,Starting now-A Latina superstar. A Hollywood actor. A drug lord. One of the wildest stories I've reported.
710621194987380736,2016-03-18 00:17:50,: We'll see you Friday for an with you don't want to miss.
698356497462329345,2016-02-13 04:02:18,We hope this created conversations in your homes. Let us know. Thank you for watching
698340924653506561,2016-02-13 03:00:25,"My interview with Sue Klebold, mother of one of the Columbine killers, starts now on . Hope you'll join us."
