id,created_at,text
627237372422287360,2015-07-31 22:00:17,THANK YOU for a terrific six-year run of on . Keep following Ed at !
627234037514375169,2015-07-31 21:47:02,'s super PAC collects half of its $20 million from people. Tweet to share your reaction on TV!
627230018318372864,2015-07-31 21:31:04,Police and bystanders take matters into their own hands after finding kids left alone in hot cars. What's up?
627228267305504768,2015-07-31 21:24:06,Investigators are still working to determine if debris found on a beach is from . What's your take?
627225479196446720,2015-07-31 21:13:02,A fmr. police officer charged w/killing is out on bail and trying to get his job back. Weigh in at
627223502127378432,2015-07-31 21:05:10,: Will racial inequality be a major issue in the presidential race? KEEP VOTING →
627222290070007808,2015-07-31 21:00:21,"Good evening , welcome to live f/Miami. I'm filling in for Ed. and get trending!"
627221727227949056,2015-07-31 20:58:07,Two-minute warning → Use hashtag and we might share your tweet on TV in the next hour!
627221455911018496,2015-07-31 20:57:02,minutes to with and on at pET/4pCT/3pMT/2pPT on !
627221300692557824,2015-07-31 20:56:25,minutes to with on ; on at pET/4pCT on !
627221163329089536,2015-07-31 20:55:53,minutes to with and on conference at pET/4pCT/3pMT/2pPT on !
627218440374226944,2015-07-31 20:45:03,minutes to : Will racial inequality be a major issue in the presidential race? VOTE→
627218203853258752,2015-07-31 20:44:07,pET/4pCT → A select group of candidates make their pitch for president at conference.
627148737832427521,2015-07-31 16:08:05,": BREAKING: Shell begins drilling in the Arctic, spokesperson confirms to : ""It is a major milestone"""
627148466326798336,2015-07-31 16:07:00,: BREAKING: U.S. Coast Guard to suspend search for two missing -year-old boaters at sunset tonight
627136146385076224,2015-07-31 15:18:03,: HAPPENING NOW: addressing US Cuba policy at :
626874993746444288,2015-07-30 22:00:19,Thanks for joining today . will be back Friday at pET/4pCT to share your tweets again on !
626871404470730752,2015-07-30 21:46:04,Dems are reportedly frustrated with ​ for dodging some key issues Are you frustrated? Tweet !
626870649160531968,2015-07-30 21:43:04,"NEXT → They say there's no crying in baseball, but one player proves them wrong."
626866867269865472,2015-07-30 21:28:02,"With the first GOP presidential debate a week away, ​ surges in a new national poll. Weigh in at !"
626864112287363073,2015-07-30 21:17:05,". says it's trying to find , the Minnesota man who admits killing . Tweet !"
626861592127279104,2015-07-30 21:07:04,"Debris found on the Indian Ocean island of Reunion considered a ""major lead"" in the search for . Tweet !"
626860597414490112,2015-07-30 21:03:07,: Should there be a federal law requiring police officers to wear ? KEEP VOTING →
626860022186676224,2015-07-30 21:00:50,"Good evening , welcome to live f/Miami. I'm filling in for Ed. and get trending!"
626859318516670464,2015-07-30 20:58:02,Two-minute warning → Use hashtag and we might share your tweet on TV in the next hour!
626857556116381696,2015-07-30 20:51:02,minutes to : Should there be a federal law requiring police officers to wear ? VOTE→
626857483122929665,2015-07-30 20:50:45,pET/4pCT → A police body cam leads to a murder indictment in the fatal shooting an unarmed black motorist.
626852374858985472,2015-07-30 20:30:27,minutes to w/fmr. investigator Greg Feith on ; on at pET/4pCT on !
626848592641155072,2015-07-30 20:15:25,"minutes to w/Mitch Ceasar , on ; on at pET/4pCT!"
626845352209969152,2015-07-30 20:02:32,"hour to w/, , , Paul Butler on at pET/4pCT on ."
626763976542695424,2015-07-30 14:39:11,": JUST IN: Ray Tensing pleads ""not guilty"" to murder in death of Samuel DuBose (Tom Uhlman/AP)"
626512596951171072,2015-07-29 22:00:17,Thank you for joining the conversation today. will be back Thursday at pET/4pCT to share your tweets on TV again!
626508522004463616,2015-07-29 21:44:06,​ and slam the ​ for upholding Brady's suspension in . Weigh in at !
626508305867870208,2015-07-29 21:43:14,: Virginia’s Jim Gilmore makes it GOP presidential candidates: (Getty)
626504235543203842,2015-07-29 21:27:04,"""OK"" with Mike saying would march Israeli to ""door of the oven"" claim Tweet !"
626502970679521280,2015-07-29 21:22:02,NEXT → Internet outraged by the killing of .
626498713477758976,2015-07-29 21:05:07,Will ’s refusal to take a position on and hurt her in the long run? VOTE:
626497503492333568,2015-07-29 21:00:19,"Good evening , welcome to live from Detroit Lakes, MN. and get trending!"
626496937705930752,2015-07-29 20:58:04,Two-minute warning → Use hashtag and Ed might share your tweet on TV in the hour!
626493672901623808,2015-07-29 20:45:05,Will ’s refusal to take a position on and hurt her in the long run? VOTE→
626493417372020737,2015-07-29 20:44:05,"pET/4pCT → weeks into her campaign, ​ still refuses to take a stand on two major issues."
626489935722229760,2015-07-29 20:30:14,minutes to with and on at pET/4pCT/3pMT/2pPT on !
626486152783003648,2015-07-29 20:15:13,"minutes to with , on ; on at pET/4pCT on !"
626482452396019712,2015-07-29 20:00:30,hour to with on at pET/4pCT/3pMT/2pPT on !
626442873559470080,2015-07-29 17:23:14,: BREAKING: University of Cincinnati officer indicted on murder charge according to prosecutor
626395927205552129,2015-07-29 14:16:41,: WATCH LIVE: New England Patriots Coach Bill Belichick speaks to the media
626395887602954240,2015-07-29 14:16:32,: Robert Kraft: I continue to support and unequivocally believe Tom Brady
626150196498436096,2015-07-28 22:00:14,Thanks for watching and tweeting today . Ed's back Wednesday at pET/4pCT. Until then get more at !
626146878967562240,2015-07-28 21:47:03,Republican presidential candidates scramble to secure one of ten spots in the first Weigh in at !
626142643894890496,2015-07-28 21:30:14,​ continues to lead the GOP field even as he deals with a new controversy. Tweet to share on TV!
626140325396897792,2015-07-28 21:21:01,": had cell phone destroyed to ""hide"" evidence, -game suspension upheld. Tweet !"
626137326998020096,2015-07-28 21:09:06,calls out 's failed economy. How bad is it? Go no further than next door Minnesota.
626136315143139329,2015-07-28 21:05:05,: Do you want to know where stands on the XL Pipeline? KEEP VOTING→
626135124950671360,2015-07-28 21:00:21,"Good evening , welcome to live from Detroit Lakes, MN. and get trending!"
626134564826578944,2015-07-28 20:58:07,Two-minute warning → use hashtag and Ed might share your tweet on TV in the hour!
626131294091546624,2015-07-28 20:45:08,minutes to : Do you want to know where stands on the XL Pipeline?VOTE→
626131042378776576,2015-07-28 20:44:08,"pET/4pCT → For the second time in two days, ducks a question about XL Pipeline."
626127523982610432,2015-07-28 20:30:09,"minutes to with , on ; on at pET/4pCT on !"
626123746118533120,2015-07-28 20:15:08,"minutes to with on ; , on pET/4pCT on !"
626120034826371073,2015-07-28 20:00:23,hour to with Larry Cohen and Mike Papantonio on at pET/4pCT!
626105097265770496,2015-07-28 19:01:02,: NFL: Brady had his phone destroyed to 'hide evidence of his own participation' http…
626098591074000896,2015-07-28 18:35:11,: BREAKING: NFL upholds -game suspension for Tom Brady in Deflategate case »
626032150547169280,2015-07-28 14:11:10,: WATCH LIVE: House GOP panel to grill John Kerry on Iran nuclear deal
625787808058228736,2015-07-27 22:00:14,Thank you for joining today. Ed LOVES to share your tweets on TV so let's all meet here again Tuesday at pET/4pCT!
625784487352274944,2015-07-27 21:47:02,"​ says former role as secretary of state prevents her from ""commenting"" on . Tweet !"
625784002213888000,2015-07-27 21:45:07,NEXT → Adrian Peterson says he’s ready to play after being off the field for over a year.
625782088109805569,2015-07-27 21:37:30,: Per discussion on : Here is on Walker's failure to get anywhere near his job-creation promise: …
625780241441517568,2015-07-27 21:30:10,"President Obama marching to ""the door of the oven"" with says Mike . Weigh in at !"
625778954499043329,2015-07-27 21:25:03,NEXT → 's Adam Reiss updates Ed on the search for two teenage boys missing off the coast of Florida.
625775190887108608,2015-07-27 21:10:06,"unloads on ​ after ""DumbDumb"" insult. Tweet to share your reaction on TV!"
625773937960456192,2015-07-27 21:05:07,: Is ​ being underestimated? KEEP VOTING →
625772709117456385,2015-07-27 21:00:14,"Good evening , welcome to live from Detroit Lakes, MN. and get trending!"
625772162490589185,2015-07-27 20:58:04,Two-minute warning → Use hashtag and Ed might share your tweet on TV in the hour!
625770357413253120,2015-07-27 20:50:54,: I join at E/4C to discuss what is actually right about: record in Wisconsin. ht…
625769277690413056,2015-07-27 20:46:36,: TUNE IN: ’s on P CT to talk + . htt…
625768890384056320,2015-07-27 20:45:04,minutes to : Is ​ being underestimated? VOTE→
625768640957190146,2015-07-27 20:44:04,pET/4pCT → The only presidential candidate with a net positive rating in Iowa and New Hampshire is...
625765153896685568,2015-07-27 20:30:13,minutes to with and on at pET/4pCT/3pMT/2pPT on !
625761342155177984,2015-07-27 20:15:04,minutes to with and on at pET/4pCT on !
625757617206378496,2015-07-27 20:00:16,"hour to with , and on at pET/4pCT on !"
