id,created_at,text
870032098349940736,2017-05-31 21:39:51,"This time, even the winner is eager to relitigate the election."
870031438351126531,2017-05-31 21:37:13,It's normal for partisans to want to wallow in relitigation of a close election. But usually the candidates help the electorate move on.
870029772025470978,2017-05-31 21:30:36,You didn't answer my question.
870028191225831426,2017-05-31 21:24:19,"Not everything you don't like hearing about your side is a ""false equivalence."""
870027872135720962,2017-05-31 21:23:03,Why shouldn't people have a similar concern about the bank speech fees?
870027781769441280,2017-05-31 21:22:42,Why were ppl bothered by the RT payment? Because ppl thought the payment (and hope of future ones) wo…
870026423993597953,2017-05-31 21:17:18,Surely you understand my point doesn't rest on them being the same. Must I lay it out pedantically fo…
870026084309454848,2017-05-31 21:15:57,"Yeah this is a garbling of the story. Affiliate had no footage to send, but also chose not to air Jacobs' own foota…"
870022201021476865,2017-05-31 21:00:31,: What's more helpful for Democrats right now: - Hillary consuming news cycles &amp; relitigating the past - Hillary not being o…
870007308209750016,2017-05-31 20:01:20,"I think Jimmy Carter provides an excellent model -- write a memoir, do good works, don't sit on corporat…"
870006611632431104,2017-05-31 19:58:34,The idea that conflicts of interest on your side don't matter because your pols have pure hearts is both incorrect and politically foolish.
870006436260175872,2017-05-31 19:57:52,Might you not entertain the idea that past &amp; future payments from banks would lead her to make policies that wouldn't alienate bankers?
870006012614369281,2017-05-31 19:56:11,"Imagine that you, like the median voter, didn't think Hillary was the bees knees. Mightn't you care who made big payments to her?"
870005793684422660,2017-05-31 19:55:19,"You personally may be a partisan and assume your party's pols operate in good faith, but why would you assume other voters assume that?"
870004087806279680,2017-05-31 19:48:33,"Jeb is not on a sabbatical from office, he is very retired from office"
870003817202450434,2017-05-31 19:47:28,"Democrats need not defend officeholding as a path to vast personal enrichment, unless they are a cult of personality for the Clintons."
870003010965057537,2017-05-31 19:44:16,"No matter how often Clintonites say ""everybody does it,"" it will still be true that taking such fees on sabbatical from office is not normal"
870002213057433600,2017-05-31 19:41:06,This is not a good argument. It's not even an argument at all. Why did Mike Flynn go to the RT gala? They paid him.
870001421126574081,2017-05-31 19:37:57,": Hillary Clinton mentions bots following Trump on Twitter, which has been debunked by Twitter"
870000988320432128,2017-05-31 19:36:14,: MTA has not restored service all the way to pre-2010 levels. They could run more trains on some lines. They have not upgraded…
