id,created_at,text
869312007014670340,2017-05-29 21:58:28,Eloise at the beach Memorial weekend
869197463445491712,2017-05-29 14:23:18,"Must read piece by the great, empathetic The Place Where Letters To Hillary Clinton Go via"
868931309036556288,2017-05-28 20:45:42,??????
868931108045565956,2017-05-28 20:44:54,": Since , the supreme strategic goal in Europe of the USSR and then Russia was the severing of the US-German alliance. Tru…"
864870717573169153,2017-05-17 15:50:22,Never forget there is beauty in this world
861380151627702272,2017-05-08 00:40:06,": And how with Le Pen defeat in France, Europe’s far-right wave crashes to a halt."
857596337549975552,2017-04-27 14:04:34,I've consistently criticized all politician for big$$ speaking fees and written about this awful practi…
856979164867461121,2017-04-25 21:12:09,: How the Kenyan Government blackmails the press. Long piece of reporting by me for
852580904052682753,2017-04-13 17:55:02,": From two years ago today, was certainly prescient:"
852578446454784000,2017-04-13 17:45:16,Recalls Mike Deaver's disastrous Time cover
850150121052545025,2017-04-07 00:55:58,Great season. Thanks
850145387231019008,2017-04-07 00:37:09,Frozen Four rd period -1tie Go
845630057532080128,2017-03-25 13:34:51,Saturday morning. The pancake house in Charlestown. Life is good
844146468151877632,2017-03-21 11:19:36,: James.
844029495841579008,2017-03-21 03:34:47,: RIP Bob Silvers
843464204057231360,2017-03-19 14:08:31,Blueberry pie for breakfast on Grandma's birthday
841502825326792704,2017-03-14 04:14:42,: Better headline: You Won't Believe the Ways Arts Criticism Can Make You a Better Lover -- and Save Your Life
841499291805974530,2017-03-14 04:00:40,": Congrats, ! It's true."
840683317498372097,2017-03-11 21:58:16,: We can't wait for the longer days and sunlit evening strolls ahead! Who's ready to ?
840669795347513344,2017-03-11 21:04:32,": ""It was the most frustrating eerience I’ve ever had in politics.”"
840668752131821568,2017-03-11 21:00:24,
840666934710538240,2017-03-11 20:53:10,": lots of details in this, including how much Bannon stated he was making at Breitbart ($750K/year)"
840662419122868226,2017-03-11 20:35:14,bound to be brilliant doc
834844182095261697,2017-02-23 19:15:38,": WaPo's new slogan is ""Democracy Dies in Darkness."" It's meant as a warning, but right now, it feels more like a prophecy."
834844012653723648,2017-02-23 19:14:57,: Telling it like it is
834243206564966401,2017-02-22 03:27:34,": David Foster Wallace. born Feb. , My essay:"
832652580362809348,2017-02-17 18:06:59,": Hemingway, Fitzgerald, Faulkner: A Free Course from Yale University"
831851188517793792,2017-02-15 13:02:33,": at end of WaPo tick-tock comes detail that Pence was willing to let Flynn skate, Priebus “didn’t want to let it go"" https://…"
831851131965943810,2017-02-15 13:02:19,: UK new espionage act precisely punishes whistleblowers who leaked &amp; published Gen Flynn's actions &amp; jails them for yrs…
831851084893274112,2017-02-15 13:02:08,: The leakers &amp; journos who eed Gen Flynn wd face yrs in jail in the UK with new Espionage Act
831846828945596416,2017-02-15 12:45:13,The Flynn scandal won't go away without an investigation | Jill Abramson
828644534389194752,2017-02-06 16:40:27,My latest:
824724685166407680,2017-01-26 21:04:22,": I think we need fewer think pieces about the media and President Trump, and more reporting about President Trump."
824188768164966406,2017-01-25 09:34:49,": Serious Q: where exactly is the smart, vocal, forceful Democratic opposition? I don't see it. Millions who marched understood t…"
823548290088235009,2017-01-23 15:09:47,"My latest: Sorry, Kellyanne Conway. 'Alternative facts' are just lies | Jill Abramson"
823010770711674880,2017-01-22 03:33:53,": Hey, --"
822574242244030465,2017-01-20 22:39:16,": hope that thousands of teenagers across America are starting punk bands called ""American Carnage"":"
822514034243227648,2017-01-20 18:40:01,I see tears in his eyes
820796678437502976,2017-01-16 00:55:52,Must Reading for Tomorrow. Martin Luther King's 'Letter From Birmingham Jail'
