id,created_at,text
870015368240144385,2017-05-31 20:33:22,"the research, production, use of music and context and history. all of it is a real service, a cultural treasure imo"
870013957582594048,2017-05-31 20:27:46,listened to &amp; - great summaries. just excellent work
870013801374011393,2017-05-31 20:27:08,ok thanks. but your best understanding is that copyright only a concern under law if you're taking ads?
870007672891817984,2017-05-31 20:02:47,: Bryce Harper's suspension was reduced to three games.
870006200019984388,2017-05-31 19:56:56,And are you barred from taking ads because you use so much copyrighted material?
870003657613471744,2017-05-31 19:46:50,Do you finish all episodes and then release all at once?
869965108788834304,2017-05-31 17:13:39,"really great analysis of Kendrick's ""Damn"" by"
869963908521525248,2017-05-31 17:08:53,"""I feel it's my calling to share the joy of God, but with exclamation, more so, the FEAR OF GOD. The balance."" -…"
869932550088798210,2017-05-31 15:04:17,"""I beg for your forgiveness."""
869931500451573760,2017-05-31 15:00:06,"""A higher class of literature might better prepare you for dealing with reality."""
869926374362017793,2017-05-31 14:39:44,: So I'm with % on this general sentiment (even if he's a little down on HP): Try Reading Another Book ht…
869919970456739840,2017-05-31 14:14:17,Hey how is not verified?
869918525200236544,2017-05-31 14:08:33,: The attack on political parties is going global...and no one's keeping sociopaths out of office.
869918490852982785,2017-05-31 14:08:25,: . and I seem to have written a paper. He did all the work. But I'm very proud of it.
869918221339693057,2017-05-31 14:07:20,": ""Decent people fell for this con. Decent people..spread it online."" How conservatives awoke to the danger of Hannity https:…"
869671886246092800,2017-05-30 21:48:30,:
869593794978742275,2017-05-30 16:38:11,": Not as bad as last May, but it has been pretty bleak. Our story on this from last Friday: https…"
869593297299410947,2017-05-30 16:36:12,I keep hearing people complain about the amount of rain in DC area this month. People have very short memories.
869582248852566017,2017-05-30 15:52:18,: I've asked multiple top White House advisers to articulate the Trump doctrine. They won't. Doesn't seem to be one.
869565745402793984,2017-05-30 14:46:44,": Uh, both of these items are supposed to be under reconciliation and thus only need votes -- votes the Republicans do…"
869527970867798016,2017-05-30 12:16:37,: Days. Titles.
869352358567923713,2017-05-30 00:38:48,: “We’re going to be vigilant and continue to do what we do.”
869351299090976771,2017-05-30 00:34:36,": This was the first time Hunter Strickland had faced Bryce Harper since the NLDS, when he went for with two monster…"
869350616782516224,2017-05-30 00:31:53,": This quote is from Hope Hicks, White House Director of Communications. Amazing DPRK skills."
869350030800498688,2017-05-30 00:29:33,": Being humiliated is part of a day's work for Trump's staff (and was long before he went to WH), via https://…"
869342992364183553,2017-05-30 00:01:35,": I don't know what it means, but Buster Posey let the whole thing happen. Just watched until Harper got to the mound."
869331928188669952,2017-05-29 23:17:37,: Bryce Harper looks like a character from Street Fighter
868633233394737154,2017-05-28 01:01:15,": Kansas, NYC, Maryland, Portland all this year; all white supremacist/anti-immigrant murders; darkness is migrating from o…"
868591635902455809,2017-05-27 22:15:58,: See you Championship Monday!
868432041553125376,2017-05-27 11:41:48,: Best. Dugout. Ever.
868430092120334336,2017-05-27 11:34:03,: A distilled version of fears of some in White House &gt;
868231152779362305,2017-05-26 22:23:32,: Heard but not seen: Fighter jets over Capitol Hill
868231044184584192,2017-05-26 22:23:06,In D.C.
868180597923090433,2017-05-26 19:02:39,": Here's Billy Graham in Parade Magazine (February ): ""The hard right has no interest in religion except to manipulat…"
868180256993234944,2017-05-26 19:01:17,wow. that's interesting. would love to read it cc
868180097433554944,2017-05-26 19:00:39,more
868179782533599233,2017-05-26 18:59:24,put another way
868179018083913729,2017-05-26 18:56:22,"“It was a mistake to identify the Kingdom of God with the American way of life."" - Billy Graham in"
868178702017941504,2017-05-26 18:55:07,gross
868177630637568001,2017-05-26 18:50:51,"""Fundamentalists who have addressed the state of the world have always done so in apocalyptic terms."""
868172460650377225,2017-05-26 18:30:19,or
868168172721098752,2017-05-26 18:13:16,k words to be exact
868168088025534465,2017-05-26 18:12:56,Did you read this piece? It's long but good
868161667217096704,2017-05-26 17:47:25,"and regarding that episode, there's this:"
868161186117890051,2017-05-26 17:45:31,"Jerry Falwell Sr in : MLK &amp; civil rights ""have done more to damage race relations &amp; to gender hate than to help""…"
868156643254710273,2017-05-26 17:27:27,": A big part of a public servant's job is teaching civics. If the First Amendment means anything, it means you can't body-slam…"
868153756273258496,2017-05-26 17:15:59,": Breitbart praises Melania Trump for wearing a $51,000 dress. They criticized Michelle Obama for wearing a $3,200 dress…"
868131822928048128,2017-05-26 15:48:50,Immediately thought of Chris Tucker when I saw Pence congratulate the…
868129823637614593,2017-05-26 15:40:53,"Stay close to . I'm also '3"" and"
868129497064890369,2017-05-26 15:39:35,: Ha! Shooting reporters! Hilarious!
868129337622638593,2017-05-26 15:38:57,: HA! Those violence-against-reporter jokes never get old.
868122186946621441,2017-05-26 15:10:32,: This is a great and wise thread. cc
868122006537068545,2017-05-26 15:09:49,": . In other words, evangelicals ARE being trained/“discipled” for political life, but by party, media, political le…"
868121964073889797,2017-05-26 15:09:39,": . Consider: At its best, politics is love gone public. The church that totally avoids politics avoids love of neig…"
868121938216054784,2017-05-26 15:09:33,": . Evangelicalism has a tradition of insisting its pulpits be strictly “a-political.” This is proper, but often mis…"
868119635673178112,2017-05-26 15:00:24,Understand the concern. But prophetic voice is lacking badly
868115729106837504,2017-05-26 14:44:53,This is really important and outstanding work - a public service
868112867773616128,2017-05-26 14:33:31,: Read on white evangelicals and the appeal of Trump:
868100996211384320,2017-05-26 13:46:20,": You knew this coming. It's disgusting, but you could set your watch by it."
868100861234491392,2017-05-26 13:45:48,": If results stay on this arc, wake-up call for Dems &amp; activists to recruit serious, sober, quality candidates. Not quirky per…"
868100807652147201,2017-05-26 13:45:35,"Key term here is ""seminarians"" as distinct from your average evangelical pastor"
868100420308262912,2017-05-26 13:44:03,": . By this logic, God also must have been at work to elect the impossibly named black man ""Barack Hussein Obama"" pre…"
868093926456086528,2017-05-26 13:18:15,": Melania Trump is Catholic, she confirms after Vatican visit"
867914826961518592,2017-05-26 01:26:34,: Why evangelicals are standing by Donald Trump: “It's the populism more than anything else” by …
867898273473982464,2017-05-26 00:20:47,: Debacle continues. Trip was relatively successful until yesterday. Now quite possibly worst ever by a sitting potus. ht…
867847850780049408,2017-05-25 21:00:26,": You who insist the Government stop doing the Church's job to help the poor, now your chance to insist your church replace Trum…"
867847570722258947,2017-05-25 20:59:19,"yep, important point"
867847511133835264,2017-05-25 20:59:05,": There are multiple variables at play here, obviously--but Jon puts his finger on the aspects of evangelical culture that e…"
867847411019984897,2017-05-25 20:58:41,: I've read a lot of theories re overwhelming white evangelical support for Trump. 's is the best I've seen. https…
867847396776177664,2017-05-25 20:58:37,whoa. thx!
867824527904043009,2017-05-25 19:27:45,": President Trump declined to back core NATO tenet, dismaying European allies"
867823741304094721,2017-05-25 19:24:37,really irresponsible
867821974927454208,2017-05-25 19:17:36,: Here's on Gianforte and politics in the age of Trump: 'There is total weirdness out there.'
867821692663590913,2017-05-25 19:16:29,: Trump physically brushed past Montenegro’s prime minister at a NATO gathering
867756993972490240,2017-05-25 14:59:24,: How a guy who had never put on a football helmet before—or even attended a football game—made the Nebraska team: https:…
867750679800160256,2017-05-25 14:34:18,"a subtweet of no doubt, and of the president at the same time"
867750473960497152,2017-05-25 14:33:29,": If you think body slamming a reporter is ok because hey, reporters suck, you're doing being American wrong."
