id,created_at,text
869984904171356160,2017-05-31 18:32:19,": The has additional details on our lawsuit against the City of LaGrange w and Relman, Dane &amp; Colfax. http…"
869943374236745731,2017-05-31 15:47:17,"When the going gets tough, the tough go local: No, the ‘resistance’ isn’t failing polls. Here’s where it’s winning."
869943017444192257,2017-05-31 15:45:52,: Great op-ed: Here’s where the resistance is winning in Trumpland -
869942958770065408,2017-05-31 15:45:38,: Imagine if cable news covered this story instead of mindlessly broadcasting Spicer's press briefings every day
869915067235655680,2017-05-31 13:54:48,": .: ""People living in &amp; around Raqqa are… targeted in the air by U.S. airstrikes &amp; on the ground by ISIS milit…"
869915018564915201,2017-05-31 13:54:37,: Could anonymous officials leaking Paris withdrawal angle be trying to insure that outcome? Intriguing since Trump suggests n…
869914956438937600,2017-05-31 13:54:22,: Literally every other major government and political party in the world believes this except for the US and GOP - a staggering…
869914917801009152,2017-05-31 13:54:13,: Quick! Someone call Trump and put another idea in his head!
869914888294060032,2017-05-31 13:54:06,: A letter from the DoJ demanded that an immigrant-rights project drop representation of its clients
869914846443208705,2017-05-31 13:53:56,"Making America Zen Again? Since election, yoga rises off the mat to take on Donald Trump via"
869898690328186880,2017-05-31 12:49:44,How Ukraine's Government Is Failing to Unite Ukrainians | The National Interest
869898404612251648,2017-05-31 12:48:36,": To paraphrase Mark Twain, reports of the insurgency’s death are premature. In reality, it has just begun to build. …"
869898277780684800,2017-05-31 12:48:06,"Trump makes US ""climate pariah"" &amp; ""rogue nation"" -reportedly withdrawing from Paris climate deal via"
869733300134436864,2017-05-31 01:52:32,: This has to be the best 'I can't believe this' eression I've seen on . It's perfect! …
869733237299523584,2017-05-31 01:52:17,: Plus: on her new profile of :
869707370431217670,2017-05-31 00:09:30,Rebecca Solnit: The Loneliness of &lt;br&gtnald Trump via
869707251682091008,2017-05-31 00:09:01,: The mother of one of the Portland attack victims wrote a powerful letter to President Trump https…
869706834822692864,2017-05-31 00:07:22,"In special local &amp; state elections,progs are winning--No, the ‘Resistance’ Isn’t Failing at Voting Booth."
869704982379069440,2017-05-31 00:00:00,: Trump escalates the war on women: great piece by
869652779652067328,2017-05-30 20:32:34,: A great piece by about our interests being ignored + attacked: …
869652686232334338,2017-05-30 20:32:12,: “He’s a man with a history but without a sense of history.” -
869651832792076289,2017-05-30 20:28:48,"No, the ‘Resistance’ Isn’t Failing at the Voting Booth. Here’s Where It’s Winning. via"
869643034547322880,2017-05-30 19:53:51,Focus little lower on ballot! /‘Resistance’ isn’t failing at the voting where it’s winning.
869626945063063552,2017-05-30 18:49:55,": No, the ‘resistance’ isn’t failing at the voting booth. Here’s where it’s winning. by …"
869558307857584129,2017-05-30 14:17:10,"My take this am/ No, the ‘resistance’ isn’t failing at the voting booth. Here’s where it’s winning."
869550604431093760,2017-05-30 13:46:34,: America Needs a Story - and I talk
869550365942976512,2017-05-30 13:45:37,Give the Portland heroes the Presidential Medal of Freedom - The Washington Post
869547592170041345,2017-05-30 13:34:36,Defunding rights-Trump administration plans to minimize civil rights efforts in agencies - The Washington Post
869535307099721729,2017-05-30 12:45:47,Worth reading-Eli Pariser Predicted the Future. Now He Can’t Escape It.
869350895762493442,2017-05-30 00:32:59,"Forgive -- One Way Out, feels like No Way Out in these times-"
869350648906690561,2017-05-30 00:32:01,"Listening to loops of No Way Out, its genius--"
