id,created_at,text
870006551372677120,2017-05-31 19:58:20,Lunchtime Photo
869936145936920577,2017-05-31 15:18:34,Housekeeping Note
869936061744656384,2017-05-31 15:18:14,Donald Trump Makes a Joke
869781327670804481,2017-05-31 05:03:22,"Trump Can Fire People, But He's Having Trouble Hiring New Ones"
869732242284838913,2017-05-31 01:48:20,"Less Liberal Contempt, Please"
869707067627638784,2017-05-31 00:08:17,Chart of the Day: The Sean Spicer Show
869641609800974338,2017-05-30 19:48:11,Lunchtime Photo
869635315711041537,2017-05-30 19:23:10,Senate Intelligence Committee Gets Ready to Start Dishing Out Subpoenas
869625247007465472,2017-05-30 18:43:10,America the Beautifull
869619037684342785,2017-05-30 18:18:29,Kids Are Playing Too Damn Much These Days
869618953823322115,2017-05-30 18:18:09,"At the State Department, Sometimes Silence Speaks Volumes"
869610399926243328,2017-05-30 17:44:10,That was the whole point of the post.
869597555755294720,2017-05-30 16:53:08,The Paris Climate Accord Is Superficial. That's Why Trump Wants to Kill It.
869578768947580928,2017-05-30 15:38:29,Leaking Is More Science Than Art These Days
869569947818655749,2017-05-30 15:03:26,The Dead Pool - May
869418669578870786,2017-05-30 05:02:18,Donald Trump Doesn't Like Dealing With Peasants
869297925762973696,2017-05-29 21:02:30,A sigmoid function.
869279034575921152,2017-05-29 19:47:26,Lunchtime Photo
869274180503687173,2017-05-29 19:28:09,Yep. Loads and loads of blame to go around.
869273709474963456,2017-05-29 19:26:17,ACA popularity has moved only slightly. And there are loads of people with poor views of ACA who would vote for Dems.
869271480764424194,2017-05-29 19:17:25,Democrats Don't Brag Enough About the Stuff They Do
869247567388913666,2017-05-29 17:42:24,Lowering Taxes on the Middle Class Is a Loser for Democrats
868886407137415175,2017-05-28 17:47:17,Camera Collection Update
868873793405677569,2017-05-28 16:57:09,Not so clear. Trump has a history of his words not meaning much. We'll see.
868873015089664002,2017-05-28 16:54:04,Maybe. Depends on what happens next.
868861237093953540,2017-05-28 16:07:16,"Trump Abroad: Big Talk, Not Much Big Action"
868844872723300352,2017-05-28 15:02:14,Trump Tweets Get Ever More Divorced From Reality
868608341819392002,2017-05-27 23:22:21,Kushnergate Update: Was It Really All About Syria?
868595981331386370,2017-05-27 22:33:14,This is your lucky day!
868570144003559424,2017-05-27 20:50:34,She's just jealous.
868531562891161602,2017-05-27 18:17:15,The Kushner Backchannel Story Is Hard to Make Sense Of
868528903836618752,2017-05-27 18:06:41,Not sure. They always show up immediately for me. But sometimes the server is grumpy. Should never be a…
868511424603193344,2017-05-27 16:57:14,Yet More Quotes of the Day
868246739286970368,2017-05-26 23:25:28,Quote of the Day : Tax Plans
868238950661578752,2017-05-26 22:54:31,"They're pretty uncreative, too."
868238678052810753,2017-05-26 22:53:26,"Ah yes, that rings a bell."
868217783070445574,2017-05-26 21:30:24,Quote of the Day: Pink Donut Boxes
868216914480422912,2017-05-26 21:26:57,minutes?
868216532349976576,2017-05-26 21:25:26,"Though I'm talking about Twitter here, not comments."
868216399784808448,2017-05-26 21:24:55,Not really. This is a regular occurrence with my trolls.
868182621657890816,2017-05-26 19:10:41,Friday Cat Blogging - May
868182545485189121,2017-05-26 19:10:23,"Trump: Overseas Trip Has Saved ""Millions of Jobs"""
868173733969756160,2017-05-26 18:35:22,Did Michael Flynn Lobby for the Turkish Government?
868148564719005696,2017-05-26 16:55:21,American Health Care Is Eensive. It Will Take Years to Change That.
868143994412388352,2017-05-26 16:37:12,"Yeah, but the belligerence of his initial response really is something that Trump has taught Republicans."
868125908925911044,2017-05-26 15:25:20,The Blue-Slip Rule Is On Its Last Legs
867998838317092866,2017-05-26 07:00:24,"Gianforte Issues Stomach-Turning ""Apology"""
867996112736727040,2017-05-26 06:49:34,"There isn't much that can be done, at least not in any feasible political sense. But we can bend the future cost curve down."
867984939999875073,2017-05-26 06:05:10,What do you base this on? I've certainly written about it often enough.
867976278317555714,2017-05-26 05:30:45,I've been in favor of universal healthcare for decades. What makes you think otherwise?
867940384386711552,2017-05-26 03:08:07,Is this really the best you guys can do?
867916344989106176,2017-05-26 01:32:36,: Trump: I'll Put a Stop to Germany Selling Cars in the US
867908183272165376,2017-05-26 01:00:10,I will prove it by taking one of my daily $500 pills tonight.
867874240862846976,2017-05-25 22:45:18,Paul Romer and the Parataxis of the World Bank
867854103657009152,2017-05-25 21:25:16,Trump: I'll Put a Stop to Germany Selling Cars in the US
867849484486799362,2017-05-25 21:06:55,"True, but as a fan of the singular ""they,"" there really are times when it's hard to make it work."
867832726543622144,2017-05-25 20:00:20,Don't most of us do both?
867826393723412480,2017-05-25 19:35:10,Lunchtime Photo
867813896412856321,2017-05-25 18:45:30,Appeals Court Upholds Ban on Travel Ban
867813559551619072,2017-05-25 18:44:10,"Well, true enough. But if that's the case, it doesn't even matter if Trump elicitly said anything about Article ."
867808793912016896,2017-05-25 18:25:14,Let's Drop the Hysterics About Trump and NATO's Article
867791244772114433,2017-05-25 17:15:30,The Intel Community Needs to Fire Someone—Fast
867779908717735936,2017-05-25 16:30:27,CBO Agrees: Trumpcare Wipes Out Protections for Pre-Existing Conditions
867763730196701184,2017-05-25 15:26:10,Obamacare Is Pretty Stable — Unless Republicans Cripple It
867758484493922304,2017-05-25 15:05:19,I've been eed.
867539854263029761,2017-05-25 00:36:34,Greg Gianforte Is Surprisingly Sensitive About the CBO's Score of AHCA
867539772079824896,2017-05-25 00:36:14,Chart of the Day: Here's How Many People Lose Insurance Under AHCA
867519261379526657,2017-05-24 23:14:44,What do you disagree with me about?
867508301017350145,2017-05-24 22:31:11,"Meet New AHCA, Same as Old AHCA"
867465590105133056,2017-05-24 19:41:28,Housing Prices Are Booming in Southern California
867444191546269696,2017-05-24 18:16:26,Donald Trump Really Likes to Drop Military Secrets Into His Conversations
867427169877848064,2017-05-24 17:08:47,The whole purpose of Twitter is to ignore what you really want and demand that you do something else.
867422793721421825,2017-05-24 16:51:24,Productivity Is the Key to Economic Growth
867407690934439936,2017-05-24 15:51:23,Corporate America Is Doing Great
867256493736955904,2017-05-24 05:50:35,"You mean $500. On average, anyway."
867247828053237760,2017-05-24 05:16:09,Health Care Is Eensive. Deal With It.
867202409948467200,2017-05-24 02:15:41,Not clear that it was leaked by USG.
867190503896481793,2017-05-24 01:28:22,Have not seen any media reports of ambassdors being withdrawn. Is there a source for this?
867145964552933376,2017-05-23 22:31:23,Budget Crankery For Geeks: Real Nonresidential Fixed Investment Version
867144146712236039,2017-05-23 22:24:09,Not yet.
867101909882212353,2017-05-23 19:36:19,Lunchtime Photo
867096879011684353,2017-05-23 19:16:20,Brennan: CIA Was Original Source of Trump-Russia Investigation
867088192746422276,2017-05-23 18:41:49,All sentence must be &lt; characters. Violators will be prosecuted by social media police.
867074216809705474,2017-05-23 17:46:17,How Should We Respond to the Turkish Assault in Washington DC?
867063523658149888,2017-05-23 17:03:47,It's a joke.
867062131123830784,2017-05-23 16:58:15,"In any case, what else can we use pre-1977? CPI and PCE are all we have, aren't they?"
867061634589765632,2017-05-23 16:56:17,BREAKING: Trump Budget Numbers Make No Sense
867055270584872961,2017-05-23 16:31:00,"CPIURS doesn't go back to , more's the pity."
867055149168160768,2017-05-23 16:30:31,"If you index =100, by you get CPI = , PCE = ."
867054766853160961,2017-05-23 16:29:00,Wait. Which point?
867054670912638976,2017-05-23 16:28:37,Just did it again. % diff from to . Not huge.
