id,created_at,text
868079509110738945,2017-05-26 12:20:57,Ukrainians Say FBI Questioning Them About Paul Manafort’s Past
867940486161473536,2017-05-26 03:08:32,: Settling in for a *long* night of Montana returns. I'll have updates as they come in throughout the night/wee hours on M…
867929524238942208,2017-05-26 02:24:58,: The problem with the current news cycle is that it's hard to tell if you're hallucinating or not.
867843127901655040,2017-05-25 20:41:40,: : Senate Intel heads get broad subpoena power in Russia probe
867842820941512704,2017-05-25 20:40:26,": Germans are ""bad, very bad"" or ""evil, very evil,"" depending on translation of what Trump reportedly told EU leaders https://…"
867842632843710464,2017-05-25 20:39:42,: Bice: directed staff to hassle plane passenger after brief exchange
867580569592442881,2017-05-25 03:18:21,: Police officers have been arrested for a lot less:
867569216651755520,2017-05-25 02:33:14,: For some reason this article from a few weeks ago seems very popular tonight ¯\_(ツ)_/¯
867566364315308033,2017-05-25 02:21:54,: Arrested for asking a Q: Pinned at : Body slammed: h…
867534709689077760,2017-05-25 00:16:07,Guardian had now posted the audio of what happened between Greg Gianforte and :
867529471338967040,2017-05-24 23:55:18,": One person was transferred from the scene to Bozeman Health Deaconess Hospital, Hyalite Fire Chief confirms with me. …"
867527460971327489,2017-05-24 23:47:19,: One patient has been transferred off the scene. That's all officials are able to say.
867527449017495552,2017-05-24 23:47:16,: On scene now where Gianforte flags are posted outside a building. Looks like is in a ambulance getting checked o…
867527299637411842,2017-05-24 23:46:40,: This is the scene outside -
867527269153157121,2017-05-24 23:46:33,": Ben walked out holding his broken glasses in his hand and said ""he just bodyslammed me"""
867527246034153474,2017-05-24 23:46:27,: Heard very angry yelling (as did all the volunteers in the room) - sounded like Gianforte
867527230884372480,2017-05-24 23:46:24,: All of a sudden I heard a giant crash and saw Ben's feet fly in the air as he hit the floor
867527218842435584,2017-05-24 23:46:21,: Ben walked into a room where a local tv crew was set up for an interview with Gianforte
867526829464334337,2017-05-24 23:44:48,: Gianforte sitting in a Jeep. Sheriff's deputies were talking to him earlier. Now a medic is at the window talking with him. …
867526798317428736,2017-05-24 23:44:41,: Gallatin Co Sheriff's Office on scene after reported being assaulted by Greg Gianforte. Medics on scene as well.…
867526779107463168,2017-05-24 23:44:36,: Jacobs reported this to police. Just heard it come over the scanner.
867524369014300673,2017-05-24 23:35:02,Thread from reporter witness...
867521525817245696,2017-05-24 23:23:44,: He says police are involved
867521505890103297,2017-05-24 23:23:39,": I've traveled with all over the country covering politicians of all stripes. If he says this happened, it's a…"
867521480405516288,2017-05-24 23:23:33,: Ben texted me the tweet is serious. Gianforte is the GOP candidate in the House special election in Montana.
867520068242071552,2017-05-24 23:17:56,: There was a local TV crew there when Gianforte body slammed me. Audio is posting soon at
867519122795622404,2017-05-24 23:14:11,Wait. What??
867461638257090560,2017-05-24 19:25:45,": Outside the house chamber, wide range of passionate voices and causes. . ht…"
867461532111609856,2017-05-24 19:25:20,": Loudest cheer: ""We will not become Wisconsin!"" : Shut it down. https://…"
867420396785684488,2017-05-24 16:41:53,"A ""rally for businesses""?"
867405722249826304,2017-05-24 15:43:34,: Schiff: “We initially requested [Flynn's] voluntary participation. He declined. We are going to be subpoenaing him.” http…
867387402087780352,2017-05-24 14:30:46,: Hard to name Lieberman FBI director when he works for the law firm of the guy Trump is retaining as his lawyer in the Russi…
867355005786968069,2017-05-24 12:22:02,: Look at their faces.
867354434761830403,2017-05-24 12:19:46,Howard Stern this morning!
867207471944937474,2017-05-24 02:35:47,": Some wisdom from a blood donor in Manchester: ""We can react in a lot of ways. We can react in anger. Or we can react by d…"
867206718643679232,2017-05-24 02:32:48,A million lives...
867126053336211456,2017-05-23 21:12:16,"thank you, for that freaking cookie stuffed with microscopic pop rocks. peel me off the ceiling before pm ET, please."
867125778877751298,2017-05-23 21:11:10,: Senate intelligence panel to subpoena Michael Flynn businesses
