id,created_at,text
869969974818775040,2017-05-31 17:32:59,": Kremlinology: Adm.Mullen bashing proposed State Dept budget cuts at CSIS, where Tillerson was on the board"
869961836757606400,2017-05-31 17:00:39,"Again, members' elections serve as their de-facto background investigations. It's a check on exec branch power."
869961207859429377,2017-05-31 16:58:09,"I assumed that, too, until I asked about it, and it turns out that MoCs are exempted."
869958625653006336,2017-05-31 16:47:54,"Members of Congress, even those serving on the intel committees, do not receive formal security clearances. Nothin…"
869892617219088384,2017-05-31 12:25:36,: Watch LA Mayor if Trump does pull out of Paris: he said in DC weeks ago he was gathering + cities to ad…
869835686819635202,2017-05-31 08:39:23,Before you Tweet at midnight...
869807279016558592,2017-05-31 06:46:30,Meta-covfefe
869723045065220096,2017-05-31 01:11:47,: ...so he's a freelance journalist.
869722912613310465,2017-05-31 01:11:15,"Eventually, someone's Twitter feed will win a Peabody. is my first nominee...."
869722701560074240,2017-05-31 01:10:25,Essential
868360475725094913,2017-05-27 06:57:25,: . Russia gap striking too.
868350167912554496,2017-05-27 06:16:27,And Reagan's backchannel with Dobrynin (about the Pentecostalists): the Soviet Ambassador was snuck i…
868318519338741760,2017-05-27 04:10:42,Discomfort Bias
868280764630155265,2017-05-27 01:40:40,"Brendan -- I agree with you here. And even still, this story is an order of mangnitude more damaging to the White H…"
868280342385315841,2017-05-27 01:39:00,One of our greatest living speechwriters has one choice word for Mr. Mitchell.
868279630150512640,2017-05-27 01:36:10,Indeed!
868278113666449408,2017-05-27 01:30:08,"Because I've written about secrecy and stuff, people often ask me if a particular TrumpRus story is ""big."" This one ... this one is big."
868277792604946433,2017-05-27 01:28:52,"Incidentally, Kushner could have just used Signal or Whatsapp with the Russians, but..."
868277340526096384,2017-05-27 01:27:04,"Allowing for the (remote in this instance), possibility of Russian disinformation, this story isn't the smoke. It's…"
868276933821218817,2017-05-27 01:25:27,There are no words for this story. Well. Actually... there might be just one....
868171625673445377,2017-05-26 18:27:00,The arms race -- the war for attention and facts -- played out in real time. Worth a read.
868017770541105152,2017-05-26 08:15:38,: This is incredible work by .
867999004038012928,2017-05-26 07:01:03,Book?
867843777343373312,2017-05-25 20:44:14,He understands the consequences of AI....
867843206423003137,2017-05-25 20:41:58,Exactly.
867842827606085632,2017-05-25 20:40:28,Fulda Gap nightmares.
867842730025603072,2017-05-25 20:40:05,"Better to use the bold space to give it a subject headline, like ""Russia Probe"" -- no reader of the push alert care…"
867734435428319232,2017-05-25 13:29:45,Again: unhelpful spokesman? Or the most unhelpful spokesman?
867734103025623040,2017-05-25 13:28:26,: . uncovers Russian cyber espionage campaign using phishing and fake leaks:
867633690934878209,2017-05-25 06:49:26,Want to know where WW III might start? Look at the fourth row. Notice the anomaly.
867626667530788865,2017-05-25 06:21:31,And breaks Twitter's glasses
867544917182042112,2017-05-25 00:56:41,": The WH I worked in wasn't easy, but still was like family. I don't love this crowd but they would do better if they cared abo…"
867494552776523776,2017-05-24 21:36:33,Read the entire thread. A way out of the conceptual tautology that often dooms policy versus political debates abou…
867492928540692480,2017-05-24 21:30:06,: RSVP for /8 event: Nuclear Weapons and Coercive Diplomacy
867481682101772289,2017-05-24 20:45:24,Or reading schadenfreude
867469409941454848,2017-05-24 19:56:38,"I don't disagree with what you're implying. I just don't believe in being gratuitously cruel to anyone, for any reason, ever."
867462605367001088,2017-05-24 19:29:36,Smarmy moralistic Twitter (my own last Tweet being an example) is annoying Twitter... I know. Sorry.
867462370536210432,2017-05-24 19:28:40,"As much as one might (and does) criticize , taking pleasure in gratuitous cruelty against him is still taking pleasure in cruelty."
867461841437376512,2017-05-24 19:26:34,"And casually, gratuitously cruel"
867461553808752640,2017-05-24 19:25:25,Let me help you class up those visuals .
867461245397381120,2017-05-24 19:24:12,Budget nerd Twitter 🤓
867460100641832960,2017-05-24 19:19:39,Talking the way the Trump base talks is not gonna change the House GOP's political calculus. Trump base wishes already priced in.
867459906038779905,2017-05-24 19:18:52,"If the goal is to get Congress to consider something even resembling Trump's budget, Mulvaney's public communication is hurting the effort."
