id,created_at,text
869948140182482944,2017-05-31 16:06:14,: I spent four days in Beijing last week meeting senior Chinese FP eerts and can confirm this is true. They're thrilled…
869897184153657345,2017-05-31 12:43:45,By us: There's a deeper story to Europe's backlash against Trump
869896213482680320,2017-05-31 12:39:53,": . on why trends that weakened America's commitment to alliances started before Trump, and will outlast him,…"
869873037096648704,2017-05-31 11:07:48,": This is an extraordinary paragraph from McMaster and Cohn's op-ed, and I don't mean ""extraordinary"" in a good way. https://…"
869735256026382336,2017-05-31 02:00:18,: The black swan nobody has been eecting: Corbyn does better than eected in the UK election.
869583252675276801,2017-05-30 15:56:18,: This is an important study of domestic resistance to transnational norms—and on an important subject. Check it out.
869568390658183168,2017-05-30 14:57:14,Important point on Venezuela: class polarization may prevent the opposition from pushing out the government…
869524409652043777,2017-05-30 12:02:28,Wonder how much of this is a neophyte consolidating his position / preparing for coming legislative elections
869360537196519424,2017-05-30 01:11:18,
869359602634305536,2017-05-30 01:07:35,Bush and Cheney did this after . They particularly wanted raw intel related to Iraq. Worked out fine iirc.
869359106834018308,2017-05-30 01:05:37,I'm so very tired
869358884460388352,2017-05-30 01:04:44,": The president's son-in-law, who is being investigated for contacts with a hostile power, gets his own intel briefing http…"
869313976647245824,2017-05-29 22:06:17,Forgetting Why We Remember
869310302772502528,2017-05-29 21:51:41,what if i want to eat everything. is that better
869253954777100288,2017-05-29 18:07:47,: France doesn't coordinate with NATO on nuclear posture. UK Trident is basically an adjunct force to the US. So if US goes…
869206717472681984,2017-05-29 15:00:05,"Thanks Damon. Fun fact: my first-ever post-college journalism job was a TNR internship, and my first a…"
869190397729361925,2017-05-29 13:55:14,"Americans convinced ourselves that the Iraq debate is behind us. But it's not over among our allies,…"
869189992769310720,2017-05-29 13:53:37,"(As a side note, I have to roll my eyes at WH officials who spent years overtly attacking European…"
869189744445587457,2017-05-29 13:52:38,"This legacy is why, per , allies are starting to wonder if the problem isn't Trump, it's American voters. And thus permanent."
869189199479615489,2017-05-29 13:50:28,"Iraq is why you see US allies still skeptical, still ready to doubt the alliance and to defy the US. Trump is tapping into all that."
869188932969406464,2017-05-29 13:49:25,The American debate over Iraq was so politicized that we mistook the damage to our alliances as just a partisan talking point. It wasn't.
869188571097423873,2017-05-29 13:47:58,"Americans are oblivious to this. We wrongly remember European objections to Iraq as purely political, or see them thru our own partisan lens"
869188389408526337,2017-05-29 13:47:15,"In the UK, Iraq damaged not just the US alliance but Britain's global role, maybe permanently. Again, Trump is surfacing something deeper."
869188121036038144,2017-05-29 13:46:11,"The Iraq war comes up over and over in my conversations with Euro officials. A lingering doubt about US leadership, which Trump has surfaced"
869187796375830528,2017-05-29 13:44:54,"Particularly among European allies and Australia, there is still a sense of distrust and skepticism toward the US over the Iraq invasion."
869187527684628481,2017-05-29 13:43:49,One crucial piece of context getting lost in assessing Trump's damage to American alliances: the still-healing wounds from GW Bush's tenure.
868998319783251973,2017-05-29 01:11:59,": Important thread. FWIW, I heard much the same in my convos in Berlin following Merkel's White House visit last March. http…"
868976748741963776,2017-05-28 23:46:16,All to say: Merkel's comment didn't come out of nowhere. Germans have spent months contemplating – and preparing for – a break with the US.
868976006325043202,2017-05-28 23:43:19,This is why there's growing European discussion of an extreme option to replace US commitments: a Euro nukes program
868974289327980548,2017-05-28 23:36:29,"Europe's hard line against Russia, which Germany only barely held with US help, seems like the likeliest thing Berlin will have to give up."
868974059966648320,2017-05-28 23:35:35,"So something will have to give. A Europe that has to be self-sufficient, as Merkel said, will also have far narrower ambitions."
868973894727864320,2017-05-28 23:34:55,"No one was sure what Plan B would look like, but they know Germany can't maintain Europe – the EU, NATO, keeping out Russia – without the US"
868973047763652608,2017-05-28 23:31:33,"One told me: The day Trump becomes a threat to German interests, we'll have no choice but to respond. We have to protect ourselves."
868972062768906241,2017-05-28 23:27:39,"One sr German official really stressed this: Our closest ally is not just going away, but may turn its power against us. Think about that."
868971638376861698,2017-05-28 23:25:57,"Their fear wasn't just that Trump would be an unreliable ally, but that his attacks on the EU and NATO would make the US a threat to Europe."
868971292212563971,2017-05-28 23:24:35,The Germans really fear Europe will fall apart w/o the US. But they saw Trump as a potential threat to their most core national interests.
868970627776098304,2017-05-28 23:21:57,They were quite open about their plan: appease Trump and proceed normally. But quietly prepare a Plan B in case that fails. We may be there.
868970241023508480,2017-05-28 23:20:24,"/ When I met with German leaders in January, they were already preparing for the possibility of breakup with the US"
868951844776792064,2017-05-28 22:07:18,Always be reading
868844339249766401,2017-05-28 15:00:07,: I understand satire but there are bold inaccuracies - ex: Obama NEVER blew him off on the tarmac. They met on AF1 - i k…
868842719480881154,2017-05-28 14:53:41,"New NATO motto: Keep the Americans out, the Russians in, and the Germans up"
868842487187730432,2017-05-28 14:52:45,": She went on to say: ""We Europeans really have to take our destiny into our own hands."""
868815315341373442,2017-05-28 13:04:47,Great elainer on why Brazil is falling into crisis
868597245297471489,2017-05-27 22:38:15,": / And that if you’re going to race one of the most influential geopolitical thinkers of our time up the stairs, make sure i…"
868523253358366720,2017-05-27 17:44:14,"Oh, yes actually they do reference this early on. It's a good detail that they do get basically right."
868522943617404928,2017-05-27 17:43:00,I see why they did this – to play up the folly and hubris of McChrystal's mission – but it is historically dishonest and verges on racism.
868522728961310721,2017-05-27 17:42:09,Film also suggests that Afghans who oppose the Taliban are drug addicts or crooks. I wonder if the filmmakers met with even a single Afghan.
868522092265918466,2017-05-27 17:39:37,What do you mean? You mean places where it's unavailable to view?
868521826393223168,2017-05-27 17:38:34,"Troublingly, ""War Machine"" repeatedly implies that Afghanistan was not at war until the US invaded and that all Afghans support the Taliban."
868521053034819584,2017-05-27 17:35:30,: Two good samaritans were killed while trying to protect two Muslim women on a Portland train.
868520947762049024,2017-05-27 17:35:04,"I really wanted to like ""War Machine"" but it is quite bad, as both a movie and a treatment of the Afghan War."
868514234715570177,2017-05-27 17:08:24,That is amazing and alarming. Such a fundamental lack of understanding. And helps elain his embrace of Sisi.
868450114834190336,2017-05-27 12:53:37,: Unspeakable. Dark forces are being unleashed.
868449966410412033,2017-05-27 12:53:01,": ""Whole Discussion on climate was very unsatisfying"" says after . ""No indication whether US will stay in…"
868425136931844100,2017-05-27 11:14:21,: It's amazing. The US pres doesn't know how NATO works
868293687578677252,2017-05-27 02:32:01,": . Brzezinski has died. Below, on his famous ""3 a.m. phonecall,"" when he was told nukes were heading for the US. https:…"
868292584334123009,2017-05-27 02:27:38,"RIP Zbigniew Brzezinski, one of the great American diplomats of the post-war era"
868267062287892480,2017-05-27 00:46:13,: CNN: Kushner &amp; Russians MSNBC: Kushner &amp; Russians Fox News: Students Ask Professor To Resign For Questioning Event Targe…
868253491634085888,2017-05-26 23:52:18,Or at least a backchannel they saw as sufficient. Maybe they had one but wanted another more direct…
868252942582808577,2017-05-26 23:50:07,": If Jared was trying to set up a secret backchannel to the Russians, doesn't that suggest they didn’t have one?"
868222415318462465,2017-05-26 21:48:49,": Tillerson declines to host Ramadan event at State Department, a bipartisan tradition for nearly years - sources"
868200025561731074,2017-05-26 20:19:51,Go back in time and tell the version of yourself about the Trump-Bannon-Kushner White House war room. How woul…
868197793608982528,2017-05-26 20:10:58,Good on the Trump submarine controversy that wasn’t
868171412007157760,2017-05-26 18:26:09,": ""the public will learn about the assault of a reporter as an essentially partisan spat...centrist pundits...will blame on…"
868170059629432834,2017-05-26 18:20:46,"[canned laughter, bass riff]"
868130047634309121,2017-05-26 15:41:47,": Trump's statement on Ramadan, Muslim holy month, is mostly about terrorism."
868121219597574144,2017-05-26 15:06:42,"I was in Taormina last week and it is indeed a great place to meet and fall in love with globalist, center-left hea…"
868106280010891264,2017-05-26 14:07:20,: Untangling and elaining the four big legal problems former Trump national security adviser Michael Flynn is facing ht…
868082957541675008,2017-05-26 12:34:39,Did a data error scramble America’s immigration debate?
868020358695325696,2017-05-26 08:25:55,"This is alarming. Partisan conspiracy theories are undermining popular faith in democracy, and thus democracy itsel…"
867893895182536704,2017-05-26 00:03:23,"cool this is good, this trip is going well"
867893739225841664,2017-05-26 00:02:46,": This is one reason I'm skeptical of takes that say, ""hey policy hasn't chan…"
867892922808717314,2017-05-25 23:59:32,: Thread.
867869825418362880,2017-05-25 22:27:45,": Trump to NATO: ""Many of these countries owe massive amounts of money from past years."" No, they don't. Trump made that up to b…"
867868361450979328,2017-05-25 22:21:56,I would sell out a lot of my friends for a bushel of really high-quality dates but that's why I'm not president
867867725200211969,2017-05-25 22:19:24,FP folks I know are having conniptions. Things they feared in November but later shrugged off are coming true. Have to wonder what's next.
867864909375262720,2017-05-25 22:08:13,"We're doing great with the Saudis tho, so that's nice"
867864511075700736,2017-05-25 22:06:38,This is the trip when he became president
867864150172741633,2017-05-25 22:05:12,"During Trump's first trip abroad, the US has had crises with: . Israel . Britain . Germany . All of NATO This is unprecedented."
867863719560306688,2017-05-25 22:03:29,": Says much about his inability to separate personal from national interests. Saudis treat me well, Europeans hate me, so I'll re…"
867863651511873536,2017-05-25 22:03:13,: Trump-O-Meter Saudis: Awesome Russians: No Official Position Germans: Bad. Very Bad.
867863127089696769,2017-05-25 22:01:08,: The White House told the NYT yesterday Trump would finally endorse Article . The fact that he did not is astonishing a…
867862441643843584,2017-05-25 21:58:24,I am speechless. Germany is arguably our most important alliance. There's no upside to this talk and potentially dr…
867817688550309888,2017-05-25 19:00:34,"Sure, but “countries owe us money” suggests that he thinks NATO members need to cut the US a check…"
867813992827416576,2017-05-25 18:45:53,"It’s easy to lose sight of how wildly unusual the Trump era remains, for the US and for the world, but this one fact should really remind us"
867813879220498434,2017-05-25 18:45:26,"This whole exercise, lecturing the US’s closest allies, is all premised on Trump STILL misunderstanding NATO and no one elaining it to him"
867813416576090112,2017-05-25 18:43:36,I feel like we’ve just gotten used to this fact but it bears repeating. Member-states do not “owe money.” That is just not how it works.
867813294177796098,2017-05-25 18:43:07,"There is still every indication that Trump, as he is giving a speech to two dozen heads of state, does not understa…"
867806235638288385,2017-05-25 18:15:04,": While speaking at a memorial to ,046 Europeans and Canadians who died under the NATO flag and Article fighting the US war…"
867806222866690048,2017-05-25 18:15:01,": Trump refuses to endorse NATO Article V, which has been invoked just once in the alliance's history: after /11. Remarkable mom…"
867777855312330753,2017-05-25 16:22:17,": Long before now, US has avoided fully grappling with its allies truly revitalizing armed forces &amp; adopting more assertive d…"
867770141790089216,2017-05-25 15:51:38,": Pool: “As the [NATO] leaders dispersed, Trump walked out alone and did not talk with any other leaders”"
867716426706149376,2017-05-25 12:18:12,Europe trip not off to a great start with a massive reassurance breakdown on the single largest security issue
867715261448802305,2017-05-25 12:13:34,: Two strong allies -- Israel and UK -- have let it be known that intelligence sharing will be modified or end. That's ou…
