id,created_at,text
869939492223934464,2017-05-31 15:31:52,One of our reports this week covers elephant poaching. met some collateral damage left behind… the orph…
869542132603899904,2017-05-30 13:12:54,Sunday nights are about to get a lot more interesting. And I’m excited to be a part of it!
869000822700617728,2017-05-29 01:21:56,: Don’t forget to tune in next Sunday /6c for “Sunday Night with Megyn Kelly”
868561504248922113,2017-05-27 20:16:14,Come check this out!
868543911417057281,2017-05-27 19:06:19,": RIP, Zbig. Here contemplating his next move against Menachem Begin at Camp David, Zbig was known to our famil…"
868543270980390914,2017-05-27 19:03:47,Nice! An amazing team on this show. Dateline is the Only Newsmagazine to Post Year-Over-Year Audience Growth
867874436409675777,2017-05-25 22:46:04,"Looking forward to Sunday, June th!"
867842292148838404,2017-05-25 20:38:20,: Looking forward to interrogating about his new novel Trophy Son at in Brooklyn next Fri. Then d…
867842248062500865,2017-05-25 20:38:10,": by : ""a nuanced perspective on pro tennis &amp; how far a father can push his son"" https…"
867842218505228288,2017-05-25 20:38:03,": In ‘Trophy Son,’ Fictional Character Accuses Real Tennis Stars of Doping -"
867842182954307585,2017-05-25 20:37:54,: I just finished Doug's book and I really enjoyed it. Everybody go buy Trophy Son.
867839675830063106,2017-05-25 20:27:57,: Caroline Kennedy on dad JFK: I've 'missed him every day of my life'
867838752303063040,2017-05-25 20:24:16,"""Trophy Son"" by getting lots of att'n-great read re: the pressure put on kids."
867558229840195584,2017-05-25 01:49:35,: I just donated an Inspirational Csnap via . Share yours!
867493759348506625,2017-05-24 21:33:24,: A little boy who I visited today &amp; had been waiting for a heart transplant will be receiving one!
867492692405755904,2017-05-24 21:29:09,: WATCH: First Lady Melania Trump visited a Vatican-owned children's hospital in Rome earlier today.
867350879623663616,2017-05-24 12:05:38,: Oh wait... it's Wednesday
867350648387502080,2017-05-24 12:04:43,: Happy Tuesday
867350626069606402,2017-05-24 12:04:38,: Happy Wednesday!
867156769080061953,2017-05-23 23:14:19,"This is so beautiful, &amp; full of love. Remembering Mr. Rogers, a true-life 'helper' when the world still needs one"
867034631937433601,2017-05-23 15:08:59,So sad about the loss of life at . Prayers to the victims. Strength to their families. And courage to our leaders.
866778259903713280,2017-05-22 22:10:15,": : Douglas Brunt is joined by Amor Towles at pH to launch TROPHY SON — reading, Q&amp;A, &amp; 🥂🥂🥂 more info: https://…"
866483905012129793,2017-05-22 02:40:36,Couple of super-smart constitutional scholars having a knock-down about possible grounds for Trump impeachment.
866135028681646080,2017-05-21 03:34:17,: Loving Settle For More - as a female attorney with a love of journalism you are a true inspiration. Thank you…
866134213187207168,2017-05-21 03:31:03,"Go for it, Meg!"
866131799801548804,2017-05-21 03:21:27,: The case for drinking coffee is stronger than ever
865923866656468992,2017-05-20 13:35:12,: Pippa Middleton looks gorgeous on her wedding day!
865637719027834881,2017-05-19 18:38:09,Wow. Read this.
865554465042055170,2017-05-19 13:07:20,: Happy Friday
865231222318014464,2017-05-18 15:42:53,": Happy birthday to one of our favorite ladies, Tina Fey!"
865030132448333826,2017-05-18 02:23:49,: Walked by this today!
864885227088470016,2017-05-17 16:48:01,: Husband and wife on the same summer reading list
864461649729683456,2017-05-16 12:44:52,: WaPo: Thing happened. McMaster: Some other thing didn't happen. POTUS: I can do the thing that happened whenever I want.
864224886994194432,2017-05-15 21:04:04,"This was a lot of fun - proud to call them colleagues, and friends."
863753609686556672,2017-05-14 13:51:22,: NOW: goes inside the feud between Elizabeth Arden and Helena Rubinstein that inspired
862985299831517185,2017-05-12 10:58:23,: McCabe: FBI Agents Were “Vocal” In Their Dissatisfaction Over Failure To Indict Clinton https:/…
862984726163927041,2017-05-12 10:56:06,: New excerpts of 's interview with President Trump coming up on
862830065742221314,2017-05-12 00:41:32,": so proud of l.holt intvu with POTUS. smart, direct, newsy. a pro's pro."
862752743353659392,2017-05-11 19:34:17,: McCabe contradicted a Trump narrative and a major media narrative. Guess which one the media focused on?
