id,created_at,text
869999745669898240,2017-05-31 19:31:17,". ""men got paid for the speeches they made, I got paid for the speeches I made..it was used, I think unfairly used.."""
869999116633477120,2017-05-31 19:28:47,Mossberg also asks if Goldman Sachs speeches were misjudgment prior to running. : why do you have Goldman Sachs here?
869998877314658305,2017-05-31 19:27:50,": .: ""I think it's disastrous"" if Trump pulls the US from the Paris Agreement. (Via )"
869998848571310082,2017-05-31 19:27:43,Walt Mossberg asks what mistakes she made apart from other forces. She says using private server but unfairly eloited
869998651090890752,2017-05-31 19:26:56,"ICYMI on Kathy Griffin: ""that image has no place in our political dialogue"""
869992567844225025,2017-05-31 19:02:46,": Clear argument by ""the Davids"" - &amp; David McKean - two of my former Chiefs who've been working on climate fo…"
869991684062433280,2017-05-31 18:59:15,"Brief briefing: skeds briefing for :30, starts late cuts it off early to go to welcome for Vietnam PM"
869991372501041152,2017-05-31 18:58:01,": For the first time, refers questions about Russia investigation to Marc Kasowitz, private lawyer."
869991251982131202,2017-05-31 18:57:32,. being asked why Ted Nugent was invited to White House dinner after threatening and
869990877506220034,2017-05-31 18:56:03,Great idea! It would give this event some Judicial weight..
869990591790161920,2017-05-31 18:54:55,: Nordic prime ministers mocking an image of Trump &amp; Saudi Arabian King Salman touching a glowing orb during Trump's visit to Riy…
869990513239306240,2017-05-31 18:54:36,Breaking news audio only White House briefing says does not know POTUS decision on
869990225220644865,2017-05-31 18:53:27,. says POTUS and a small group of people know what he meant by midnight tweet
869982033384230920,2017-05-31 18:20:54,: Elon Musk and other top executives make a final push for staying in the Paris agreement
869977749418524673,2017-05-31 18:03:53,": With West Wing in near-constant crisis, Pres. Trump is actively seeking advice about possible shakeup, sources say. htt…"
869976721058971650,2017-05-31 17:59:48,. tweets he's done everything he can to advise POTUS not to leave will resign from CEO advisory panels if he does
869960352146042880,2017-05-31 16:54:45,.: the good thing about alzheimers is it is a nonpartisan issue... we can all agree funding is in our national interest
869957249841586177,2017-05-31 16:42:26,. says I thought it was unseemly of the president to be arguing with the German chancellor via twitter
869956799868391427,2017-05-31 16:40:38,. on Afghanistan: we are years into this war and President Trump will face a difficult decision
869954471144697857,2017-05-31 16:31:23,": BREAKING: US citizen contractor personnel injured in massive Kabul suicide bombing, US State Dept. official says. ht…"
869950124599988226,2017-05-31 16:14:07,". on Kathy Griffin: I condemn this, I talked to her&amphe made heartfelt apology..that image has no place in our political dialogue"
869947458759131137,2017-05-31 16:03:31,Coming up on : and more on . Tune in!
869762549490868224,2017-05-31 03:48:45,He had already decided to leave his job. He was searching for a way to answer honestly I suspect. And above all not…
869706076693962753,2017-05-31 00:04:21,You are so right. Hurrah for them both and what they give to all the rest of us
869705896175300608,2017-05-31 00:03:38,: President Trump is interviewing more candidates for FBI director
869705588648882176,2017-05-31 00:02:25,": — on Instagram: ""I am sorry. I went too far. I was wrong”"
869696129973325828,2017-05-30 23:24:50,State Department condemns horrific attacks in Baghdad
869696009768759296,2017-05-30 23:24:21,": ""It's extraordinary that he wanted to use Russian communications."" on Kushner's back channel requests. …"
869695915174580224,2017-05-30 23:23:59,: Four senators to watch in the Trump-Russia investigation via
869694392990408704,2017-05-30 23:17:56,Sources close to Mike Flynn say he'lll provide some personal documents + business docs after senate intel narrowed supbeona request
869680758750924801,2017-05-30 22:23:45,: Ex-National Security Adviser Flynn to give some docs to Senate panel investigating Russian meddling in election.
869680665960341504,2017-05-30 22:23:23,": When Kirk did this, he went back in time and saved humpbacks from extinction. So this is a good thing."
869680597043736576,2017-05-30 22:23:06,: TUNE IN: in the chair tonight for
869680519109373953,2017-05-30 22:22:48,. says tweet showing vioilence against is vile and wrong. Not going to show the original pic
869679836029218818,2017-05-30 22:20:05,. reports that Michael Flynn will turn over some business records to Senate Intelligence still wont release personal records report says
869679277964505088,2017-05-30 22:17:52,DOD says U.S interceptor fired ex Vandenberg AFB in California successfully destroyed ICBC launched from S Pacific a st. More
869641244842045440,2017-05-30 19:46:44,We can only imagine the reaction from Erdogan
869640810496757761,2017-05-30 19:45:01,: WATCH: Press Sec. Spicer says he hasn't asked Pres. Trump if he believes humans are contributing to climate change. htt…
869640731492831232,2017-05-30 19:44:42,: . says Kennedy’s backchannel was a part of US govt. Kushner started backchannels as a private citizen. https://…
869620609331986432,2017-05-30 18:24:44,.: Trumps been acting as though no consequences for reckless behavior &amp; Merkel making clear not true
