id,created_at,text
870022769479749632,2017-05-31 21:02:47,New Bonus for Members
870022706888093696,2017-05-31 21:02:32,House Panel Issues Seven Subpoenas in Russia Probe via
870022656539734016,2017-05-31 21:02:20,Clinton Rips Media for Coverage of Her Email Server via
870022600252166146,2017-05-31 21:02:06,Trump Keeps In Touch with Roger Stone via
870007207340933120,2017-05-31 20:00:56,Comey Will Testify on Trump Interactions
869999485434212352,2017-05-31 19:30:15,No Decision Yet on Paris Climate Accord?
869997344711901188,2017-05-31 19:21:45,New Bonus for Members via
869992306631479296,2017-05-31 19:01:44,Elon Musk Threatens to Stop Advising Trump via
869992014296653824,2017-05-31 19:00:34,The DNC Meets The Resistance
869988102936199169,2017-05-31 18:45:01,Democrats Lack a Core Economic Message
869984419527876608,2017-05-31 18:30:23,Most Think Trump Is His Own Worst Spokesperson
869980547572838406,2017-05-31 18:15:00,Trump Returns to Campaigning
869978000208666628,2017-05-31 18:04:53,"If Comey testifies Trump pressured him to stop investigation, it won’t matter how many war rooms he has"
869977027939618816,2017-05-31 18:01:01,Trump Advisers Claim He Backed NATO Article
869975945972731904,2017-05-31 17:56:43,Nevada lawmaker not giving up on surprise medical bills
869973014531772417,2017-05-31 17:45:04,Support for Impeachment Grows
869969262395478016,2017-05-31 17:30:10,Zombie Trumpcare Could Pass in the Senate
869966974863851520,2017-05-31 17:21:04,"James Comey will testify, as soon as next week, that Trump did pressure him to end the Russia investigation"
869966162456485888,2017-05-31 17:17:50,It would be a big mistake to think the GOP health care bill is dead yet
869965486662012930,2017-05-31 17:15:09,No Decision Yet on Paris Climate Accord? via
869965351341228032,2017-05-31 17:14:37,Comey Will Testify on Trump Interactions via
869961899718397953,2017-05-31 17:00:54,Divided White House Waits for Trump’s Climate Decision
869958026777767936,2017-05-31 16:45:31,Zombie Trumpcare Could Pass in the Senate
869957958242906113,2017-05-31 16:45:14,The DNC Meets The Resistance via
869957904518000641,2017-05-31 16:45:02,Putin Denies Meddling in U.S. Election
869955835975389184,2017-05-31 16:36:48,Most Think Trump Is His Own Worst Spokesperson via
869955764907106305,2017-05-31 16:36:32,Democrats Lack a Core Economic Message via
869954197986447361,2017-05-31 16:30:18,Stephen Miller In High School
869950380918140928,2017-05-31 16:15:08,Trump Will Pull U.S. Out of Paris Climate Accord
869946580140527617,2017-05-31 16:00:02,White House Looking for ‘War Room’ Space
869942797377445888,2017-05-31 15:45:00,Trump’s White House Bake-Off for Chief of Staff
869939188703035392,2017-05-31 15:30:39,What’s the Meaning of ‘Covfefe’?
869931554264555520,2017-05-31 15:00:19,Majority Don’t Like GOP Health Care Plan
869924043872448516,2017-05-31 14:30:29,Trump’s Legislative Window Is Closing
869918032872787969,2017-05-31 14:06:35,Zombie Trumpcare Could Pass in the Senate via
869916871826575360,2017-05-31 14:01:59,How is this faceless publisher different than what Facebook or Google are trying to become?
869916686266380288,2017-05-31 14:01:14,Trump Faces Recruiting Challenge
869915938858119170,2017-05-31 13:58:16,Trump Returns to Campaigning via
869908831396089856,2017-05-31 13:30:02,Republicans Try to Damage Warren Early
869901401182408704,2017-05-31 13:00:30,Trump Aides Lavish Praise on the Boss
869896564319420416,2017-05-31 12:41:17,Zombie Trumpcare Could Pass in the Senate via
869893856212508672,2017-05-31 12:30:31,Trump Gives Cell Phone Number to World Leaders
869886300345774080,2017-05-31 12:00:30,Trump Interviews Pistole for FBI Chief
869883319122620416,2017-05-31 11:48:39,Trump Gives Cell Phone Number to World Leaders via
869883250252152832,2017-05-31 11:48:23,Trump Aides Lavish Praise on the Boss via
869883183407529985,2017-05-31 11:48:07,Republicans Try to Damage Warren Early via
869883108287557632,2017-05-31 11:47:49,Trump Faces Recruiting Challenge via
869883058475991041,2017-05-31 11:47:37,Trump’s Legislative Window Is Closing via
869882992768032768,2017-05-31 11:47:21,Majority Don’t Like GOP Health Care Plan via
869882934202961920,2017-05-31 11:47:07,What’s the Meaning of ‘Covfefe’? via
869882853324197888,2017-05-31 11:46:48,Trump’s White House Bake-Off for Chief of Staff via
869882787117117440,2017-05-31 11:46:32,White House Looking for ‘War Room’ Space via
869882721950199808,2017-05-31 11:46:17,Trump Will Pull U.S. Out of Paris Climate Accord via
869872335628767232,2017-05-31 11:05:00,“He could take a dump on his desk and you would defend him”
869747291124576257,2017-05-31 02:48:07,Putin Denies Meddling in U.S. Election via
