id,created_at,text
869982065252552704,2017-05-31 18:21:02,
869979855181500421,2017-05-31 18:12:15,
869977971683184640,2017-05-31 18:04:46,"We are in search of the identity of the DNC leaker (s), don't get distracted ​by the mainstream media fake news distributors."
869977761863131136,2017-05-31 18:03:56,"Let's be clear, there is only one endgame here: To find the DNC leaker(s)."
869968409718640641,2017-05-31 17:26:46,: Coming attractions: Media Equality Project is just warming up …
869929946059341824,2017-05-31 14:53:56,If you would like to fill in for me one day I am on over stations and plus million listeners.
869838469673009152,2017-05-31 08:50:26,": Must read. The Russia story is the biggest propaganda con in US history and Americans are increasingly believing it, without…"
869838013672693760,2017-05-31 08:48:37,Thank you. Finding the truth is all that matters. Reporter Group think has become an epidemic.
869837023951155200,2017-05-31 08:44:41,": After eeriencing dozens of twisted stories from politically motivated 'journalists' myself, I agree with Trump. Journalis…"
869836078936711168,2017-05-31 08:40:56,Such a powerful question!!!
869830793136406528,2017-05-31 08:19:56,Great idea. JA show.
869749777222832128,2017-05-31 02:58:00,Question of the Day: Do you think the deep state leaks are hurting the country?
869746003431358465,2017-05-31 02:43:00,"DHS Secretary says the leaks in DC could have crossed the line of treason… , and John Solomon react next"
869741039514505216,2017-05-31 02:23:17,I humbly thank all of my irredeemable deplorable friends for all of your support. You have all energized me more than words can describe.
869740464743698434,2017-05-31 02:21:00,Up next... ’s reaction to the deep state and the propaganda media trying to take down Jared Kushner
869727635613650944,2017-05-31 01:30:01,There is a war on free speech and now conservatives are fighting back… Hear more in minutes from Melanie Morgan and
869724304421916672,2017-05-31 01:16:47,The deep state is targeting more members of the Trump administration… Get the latest at pm!
869715618672541697,2017-05-31 00:42:16,"Tonight on at pm I am joined by , , , , John Solomon, and much more!"
869665130065403906,2017-05-30 21:21:39,
869645040930480128,2017-05-30 20:01:49,
869644134532907008,2017-05-30 19:58:13,
869628346103156736,2017-05-30 18:55:29,"Please support them, they are returning to my show -"
869608083747688448,2017-05-30 17:34:58,: Payback time!
869596244586500097,2017-05-30 16:47:55,": Rachel Maddow, done in by her own ‘fake news’ mouth"
869596192812003328,2017-05-30 16:47:43,: Flint toxic water tragedy points to Michigan Gov. Snyder CONSPIRACY THEORY from Rachel Maddow
869596144313266176,2017-05-30 16:47:31,: Rachel Maddow takes conspiracy theorizing mainstream with Trump tax ‘scoop’
869594036474195969,2017-05-30 16:39:09,: Exclusive: Veterans groups denounce USAA after Hannity ads pulled …
869593905376964608,2017-05-30 16:38:37,: Powerful statement of support from recognizing 's work for our
869593794240446465,2017-05-30 16:38:11,: It's all coming to a head. Payback's a b-
869593780869115905,2017-05-30 16:38:08,: What better day than today to fight for freedom of speech?
869593728775843840,2017-05-30 16:37:55,": So many examples of Maddow going off the deep end, yet crickets from Media Matters …"
869593711944007680,2017-05-30 16:37:51,: Why does Maddow so often embrace fringe conspiracy theories? Do her sponsors know? …
869593690230194176,2017-05-30 16:37:46,: Many examples of Maddow madness to follow
