id,created_at,text
869947817317584896,2017-05-31 16:04:57,": Watch: talks with on 's , performs from her album ht…"
869926141213241344,2017-05-31 14:38:49,": discussed her album ""Freedom Highway"" &amp; performance at Sing-Sing Correctional Facility ht…"
867864588188045312,2017-05-25 22:06:56,": Tonite legend discusses his new book ""Coach Wooden and Me"" and . Check local listing https:/…"
866371248086843392,2017-05-21 19:12:56,: . &amp; my man killed ‘em off the break! Great night ht…
865585114356502528,2017-05-19 15:09:07,Thank you.
865585082974650373,2017-05-19 15:09:00,Thank you.
865583457505652736,2017-05-19 15:02:32,"Happy Birthday, Brother Malcolm! For some, your truth was too subversive and your love too fervent, but your legacy…"
865023950035615745,2017-05-18 01:59:15,It was a pleasure to have you on. Congrats on
864949709751889921,2017-05-17 21:04:15,: Me taking to about the Good brother . We talked about black men…
864694340714627073,2017-05-17 04:09:30,The full interview will post to our website tomorrow afternoon
864688637627187200,2017-05-17 03:46:51,: dropping ALL THE KNOWLEDGE right now on 's show
863214105594916864,2017-05-13 02:07:35,"""At this point in our wretched relationship w/, what are we prepared to do?"""
863034712411033602,2017-05-12 14:14:44,. thinks he is .
862734488006266881,2017-05-11 18:21:45,": Why ""resist"" must be joined by ""resolve"" - SPEA alum in a Time column that begins with Big Mama:"
862718358084620289,2017-05-11 17:17:39,Thank you for watching. The full interview is now online here:
862469823292485634,2017-05-11 00:50:04,"Tonite discusses his new album ""Everybody"". Love his perspective, how he handles being called ""wack"""
862429509152362496,2017-05-10 22:09:52,Am I the only one not buying it...all of this faux anger for firing ?
862362905530040320,2017-05-10 17:45:13,: Tavis Smiley: Andrew Jackson is the perfect icon of selfishness for Trump via
862070961478279174,2017-05-09 22:25:08,"One has to always question the motives of , but let's be honest: it's been time for to take a few seats."
862013758755000321,2017-05-09 18:37:50,Why Andrew Jackson Is Right for Donald Trump
861726112715386880,2017-05-08 23:34:50,: So great to join for a conversation about my book &amp; citizen power in the age of Trump. Tune in TONIGHT …
860584673537392641,2017-05-05 19:59:09,Our nation is confronting hard questions that require heart answers.
860205331082817537,2017-05-04 18:51:47,Class warfare in the era of is in full effect; this new healthcare bill punishes the poor and abuses the aged.
860204578352091136,2017-05-04 18:48:47,"When health insurance is a commodity that only the rich can buy, poor people suffer and the elderly just die."
859567299589799936,2017-05-03 00:36:28,: Celebrating last night with . Congrats !
