id,created_at,text
870018798224650241,2017-05-31 20:47:00,Jared Kushner never talks to the media. But he used to.
869980043971223552,2017-05-31 18:13:00,"After months of trolling Trump, Merriam-Webster has no words about ‘covfefe’"
869944821477191682,2017-05-31 15:53:02,The case for and against Trump leaving the Paris climate change agreement
869916889211908096,2017-05-31 14:02:03,Trump is loving every minute of this ‘covfefe’ distraction
869915887427518466,2017-05-31 13:58:04,"Trump tweets ‘covfefe,’ inspiring a semi-comedic act of Congress"
869900772980531201,2017-05-31 12:58:00,The spider web of legal questions that could ensnare Texas’s sanctuary cities ban
869883911979008000,2017-05-31 11:51:00,Which Trump associates are being investigated by Congress? A running list.
869720372584873984,2017-05-31 01:01:10,Was Rep. Darrell Issa really hiding from constituents on a rooftop? Depends on whom you ask.
869691400362872832,2017-05-30 23:06:02,Sean Spicer returns with a press briefing for the ages
869672277599805440,2017-05-30 21:50:03,"‘Hate speech is not protected by the First Amendment,’ Oregon mayor says. He’s wrong."
869656413949374465,2017-05-30 20:47:01,Fox News just pulled Trump into an alternative reality
869617684853477376,2017-05-30 18:13:07,This White House statement on Trump’s ‘positive energy’ reads like a parody
869584593321689090,2017-05-30 16:01:37,"Devin Nunes, the congressman who nearly derailed the House’s investigation into Russia, is blaming Democrats"
869582442738454529,2017-05-30 15:53:05,Trump is now asking the Senate to give him more power. Here’s why it’ll resist.
869553521598889984,2017-05-30 13:58:09,Mike Dubke had one of the worst jobs in Washington. He lasted months.
869309896986161152,2017-05-29 21:50:05,A Texas Republican called ICE on protesters. Then lawmakers started to scuffle.
869191098404622339,2017-05-29 13:58:01,"Trump’s foreign trip didn’t solve his media problem, but it helped"
869159136402915329,2017-05-29 11:51:00,How to survive talking politics on Memorial Day
868892895507558400,2017-05-28 18:13:04,Trump was accused of not bothering to get a translation of his European allies’ words. Fake news!
868857651035348992,2017-05-28 15:53:01,"Trump returns home from abroad — with a Twitter rant about fake news, leaks and ‘the enemy’"
868569386143166464,2017-05-27 20:47:33,Joe Biden on politics of fear: ‘The American people will not sustain this attitude for long’
868451219660046336,2017-05-27 12:58:00,Now we know how Hillary Clinton felt watching Trump’s inauguration speech
868434361041002497,2017-05-27 11:51:01,Trump seems powerless to stop leaks
868270803216936961,2017-05-27 01:01:05,Jared Kushner trying to secretly talk to the Russians is the biggest billow of smoke yet
868206858733060096,2017-05-26 20:47:00,"Hillary Clinton’s remarkably aggressive anti-Trump speech, annotated"
868112247968731136,2017-05-26 14:31:03,Greg Gianforte’s win in Montana proves there’s no penalty in politics for media bashing
868103946908446720,2017-05-26 13:58:04,Trump’s foreign trip gets ‘The Wonder Years’ treatment
868088849272102912,2017-05-26 12:58:04,"The GOP’s newest member of Congress can’t make up his mind about whether he assaulted a reporter, or a reporter as…"
868071998165049344,2017-05-26 11:51:07,Here’s why the FBI is likely to be interested in Jared Kushner’s meeting with Russians
868046585397227522,2017-05-26 10:10:08,The investigation of Jared Kushner fits a very troubling pattern
867929787083493377,2017-05-26 02:26:01,Investigators’ focus on Jared Kushner puts Trump in an awkward position
867908395315208193,2017-05-26 01:01:01,Will Trumpshake make world leaders avoid his grip?
867879453527068672,2017-05-25 23:06:00,Greg Gianforte and the worst Election Day headlines ever
867860361030111234,2017-05-25 21:50:08,"Hard-working taayers don’t support big cuts to food stamps, it turns out"
867844508968505344,2017-05-25 20:47:09,Bernie Sanders just went full Bernie Sanders on Trump’s budget director
867805734335123457,2017-05-25 18:13:04,Meet another national candidate who assaulted a reporter. He’s still not sorry years later.
867749869204758528,2017-05-25 14:31:05,Trump and the art of the super-awkward handshake
867741546464108545,2017-05-25 13:58:01,Montana’s Greg Gianforte is fighting for a House seat. He might be miserable in Congress.
867726459888074752,2017-05-25 12:58:04,Facebook is going to show you news that you normally avoid
867567397498224641,2017-05-25 02:26:00,"The new GOP health-care bill isn’t any better, in four charts"
867497941044531201,2017-05-24 21:50:01,The three numbers you need to understand the CBO report on Republicans’ health-care bill
867482082582421504,2017-05-24 20:47:00,"Voters are getting a phone message from President Trump in Montana, where robo-calls are illegal"
867443330107535370,2017-05-24 18:13:00,Cable news is careening toward a defining moment
867408095173120002,2017-05-24 15:53:00,The White House and congressional Democrats both think they’re morally right on the budget. They can’t both win.
867347203781787648,2017-05-24 11:51:02,Republicans’ health-care bill just claimed its first political victim
867321781593440257,2017-05-24 10:10:01,Sean Hannity says he will drop the Seth Rich conspiracy theory and stay at Fox News
867154693474091008,2017-05-23 23:06:04,Obama’s White House photographer trolls the Trumps’ hand-holding failures on Instagram
867135555632603137,2017-05-23 21:50:01,moments that show Trump isn’t about to get any help from the intelligence community
867119757597827072,2017-05-23 20:47:15,"‘If you’re innocent, why are you taking the Fifth?’ Trump said — years after invoking it himself"
867080973711790082,2017-05-23 18:13:08,Trump’s bad habit of confirming bad news — sometimes by accident
867033631314857984,2017-05-23 15:05:01,Congress doesn’t want to touch Trump’s budget with a -foot pole
867025126205919233,2017-05-23 14:31:13,"Trump called terrorists ‘losers’ — the same insult he has thrown at CNN, Ted Cruz and many others"
867017802485563392,2017-05-23 14:02:07,Trump’s newest health care proposal might be one of his most unpopular ideas yet
867016767813668868,2017-05-23 13:58:00,"The Seth Rich conspiracy’s biggest myths, elained"
867001667962712064,2017-05-23 12:58:00,‘Their dream was my nightmare’: Monica Lewinsky bids ‘farewell to the age of Ailes’
866984821175791616,2017-05-23 11:51:03,Asking others to do his dirty work is President Trump’s M.O.
866964452578660353,2017-05-23 10:30:07,The three most damaging paragraphs from the revelation about Trump pushing back against the FBI
866959393295921152,2017-05-23 10:10:01,California Democrats give Trump the finger
866842654151233536,2017-05-23 02:26:08,Republican redistricting is taking a beating in the courts (again)
866821237292625920,2017-05-23 01:01:02,Trump’s epiphany: Peace between Israel and Palestine is ‘not easy’
866792288642629633,2017-05-22 23:06:00,The questions that will be haunting each party in Montana’s special election
866773161827807234,2017-05-22 21:50:00,"‘Radical Islamic terrorism,’ Trump said over and over. But not in Saudi Arabia."
866757323489980417,2017-05-22 20:47:04,The media is taking a beating on Trump’s foreign trip
866718553323577345,2017-05-22 18:13:00,Sinkhole forms in front of Mar-a-Lago; metaphors pour in
866683355496099840,2017-05-22 15:53:08,The White House is trying to dupe the New York Times with phony leaks
866662685827584001,2017-05-22 14:31:00,"Trump proves, once again, dancing politicians are always awkward"
866276892982341633,2017-05-21 12:58:00,"How HuffPost plans to win over Trump supporters (yes, really)"
866096473972375553,2017-05-21 01:01:05,The Seth Rich conspiracy shows how fake news still works
866067518179483648,2017-05-20 23:06:01,Trump mocked Obama for bowing to a Saudi king. And then he …
866048385945620484,2017-05-20 21:50:00,"From ‘nut job’ to ‘wacko,’ Trump has a history of insulting others’ mental health"
866032532860665857,2017-05-20 20:47:00,"Trump received an elaborate welcome in Saudi Arabia, a country he bashed for years"
865993778959659012,2017-05-20 18:13:00,Anderson Cooper apologizes for conjuring image of Trump defecating on his desk
865946476161232897,2017-05-20 15:05:03,"Trump gave a thumbs-up in Saudi Arabia, which the U.S. Embassy says is ‘rude.’ But it’s not really."
865897642802499585,2017-05-20 11:51:00,questions Congress needs to answer about Trump and Russia
865877342685716483,2017-05-20 10:30:20,Trump is practically begging to be accused of obstruction of justice
865872261479370752,2017-05-20 10:10:08,Sean Spicer’s spin-tastic definition of ‘pressure’
