id,created_at,text
854498804854390784,2017-04-19 00:56:05,"See you in Santa Barbara, California, this Thu., Apr. th at UCSB Arlington Theater, hosted by UCSB Arts &amp; Lectures"
827004040466817024,2017-02-02 04:01:42,A Concerned Citizen’s Plea to America’s Business Leaders
825439398384848900,2017-01-28 20:24:23,"Mr. Trump. Steve Job’s biological father’s name was Abdulfattah Jandali. He came to the US as a student. He was from Homs, Syria."
824184480004968449,2017-01-25 09:17:47,"Smart Approaches, Not Strong-Arm Tactics, to Jobs"
821635587417456640,2017-01-18 08:29:23,Retweeting Donald Trump
819562140847767553,2017-01-12 15:10:15,Having fun with Stephen Colbert discussing my new book!!
819142861304299520,2017-01-11 11:24:11,Trump will be the first U.S. President who has to recuse himself from dealing with Russia. Sad.
819099889862897664,2017-01-11 08:33:26,Online and Scared
817084374948675584,2017-01-05 19:04:30,Today I’m discussing with my new book Thank You for Being Late. Follow on
816690443371085824,2017-01-04 16:59:09,Reflecting on a profound question with : “what it means to be human in the age of intelligent machines”
816654362722373632,2017-01-04 14:35:47,Trump believes alleged rapist/Wikileaks founder Julian Assange more than he believes U.S. CIA on Russian hacks. Sad.
816562415873773568,2017-01-04 08:30:25,From Hands to Heads to Hearts
815396537496838144,2017-01-01 03:17:38,"On New Year's Eve President-elect Trump actually called some fellow Americans his ""enemies."" Really sad and troubling."
814893886061547520,2016-12-30 18:00:17,"The Friedman Prescription, Thank You For Being Late, review by Robert Walker of the Population Institute:"
814307317852188672,2016-12-29 03:09:28,Bibi Netanyahu Makes Trump His Chump
813904565347172352,2016-12-28 00:29:04,Robert Walker on population and sustainability and my latest book.
811777809203007488,2016-12-22 03:38:06,Chinese hoax hits Santa Claus and North Pole right before Christmas.
809792871318622208,2016-12-16 16:10:40,Must read article about where conservative went wrong from Charlie Sykes
809069274757287938,2016-12-14 16:15:21,"For me, if you want to be an optimist about America stand on your head - My book talk in Minnesota for MPR:"
808952951079403520,2016-12-14 08:33:07,Trump’s Approach: A Fresh Start or Crazy Reckless?
808432637501206530,2016-12-12 22:05:35,Congratulations to the Marshall Scholars - Tremendous achievement!
808390665633693697,2016-12-12 19:18:48,Short lecture on my new book ``Thank You For Being Late.''
807216244999000064,2016-12-09 13:32:04,"An NYT podcast about my new book ``Thank You For Being Late"""
806629786974097409,2016-12-07 22:41:42,"With Trump’s appointment of Scott Pruitt at EPA, time to man the barricades"
806424908641304576,2016-12-07 09:07:35,"Say What, Al Gore, Ivanka Trump and Donald Trump?"
